month_date,case_count,rolling_12_month_mean
2015-07-01,123,159.416666666667
2015-08-01,57,160.916666666667
2015-09-01,67,162.583333333333
2015-10-01,152,168.75
2015-11-01,199,172.833333333333
2015-12-01,328,181.75
2016-01-01,229,174.833333333333
2016-02-01,85,173.75
2016-03-01,146,174.25
2016-04-01,185,171.666666666667
2016-05-01,265,170.75
2016-06-01,221,171.416666666667
2016-07-01,103,169.75
2016-08-01,67,170.583333333333
2016-09-01,77,171.416666666667
2016-10-01,111,168
2016-11-01,173,165.833333333333
2016-12-01,178,153.333333333333
2017-01-01,107,143.166666666667
2017-02-01,105,144.833333333333
2017-03-01,168,146.666666666667
2017-04-01,242,151.416666666667
2017-05-01,406,163.166666666667
2017-06-01,357,174.5
2017-07-01,169,180
2017-08-01,99,182.666666666667
2017-09-01,105,185
2017-10-01,100,184.083333333333
2017-11-01,208,187
2017-12-01,273,194.916666666667
2018-01-01,183,201.25
2018-02-01,71,198.416666666667
2018-03-01,143,196.333333333333
2018-04-01,344,204.833333333333
2018-05-01,459,209.25
2018-06-01,409,213.583333333333
2018-07-01,237,219.25
2018-08-01,118,220.833333333333
2018-09-01,135,223.333333333333
2018-10-01,265,237.083333333333
2018-11-01,546,265.25
2018-12-01,679,299.083333333333
2019-01-01,343,312.416666666667
2019-02-01,118,316.333333333333
2019-03-01,268,326.75
2019-04-01,401,331.5
2019-05-01,499,334.833333333333
2019-06-01,387,333
2019-07-01,224,331.916666666667
2019-08-01,106,330.916666666667
2019-09-01,162,333.166666666667
2019-10-01,324,338.083333333333
2019-11-01,745,354.666666666667
2019-12-01,812,365.75
2020-01-01,269,359.583333333333
2020-02-01,29,352.166666666667
2020-03-01,35,332.75
2020-04-01,19,300.916666666667
2020-05-01,62,264.5
2020-06-01,77,238.666666666667
2020-07-01,66,225.5
2020-08-01,57,221.416666666667
2020-09-01,60,212.916666666667
2020-10-01,65,191.333333333333
2020-11-01,100,137.583333333333
2020-12-01,167,83.8333333333333
2021-01-01,184,76.75
2021-02-01,67,79.9166666666667
2021-03-01,148,89.3333333333333
2021-04-01,171,102
2021-05-01,253,117.916666666667
2021-06-01,268,133.833333333333
2021-07-01,166,142.166666666667
2021-08-01,66,142.916666666667
2021-09-01,89,145.333333333333
2021-10-01,121,150
2021-11-01,271,164.25
2021-12-01,305,175.75
2022-01-01,212,178.083333333333
2022-02-01,100,180.833333333333
2022-03-01,177,183.25
2022-04-01,200,185.666666666667
2022-05-01,310,190.416666666667
2022-06-01,292,192.416666666667
2022-07-01,114,188.083333333333
2022-08-01,64,187.916666666667
2022-09-01,125,190.916666666667
2022-10-01,222,199.333333333333
2022-11-01,295,201.333333333333
2022-12-01,101,184.333333333333
2023-01-01,25,168.75
2023-02-01,50,164.583333333333
2023-03-01,98,158
2023-04-01,99,149.583333333333
2023-05-01,142,135.583333333333
2023-06-01,189,127
2023-07-01,143,129.416666666667
2023-08-01,82,130.916666666667
2023-09-01,75,126.75
2023-10-01,91,115.833333333333
2023-11-01,170,105.416666666667
2023-12-01,197,113.416666666667
2024-01-01,157,124.416666666667
2024-02-01,56,124.916666666667
2024-03-01,156,129.75
2024-04-01,223,140.083333333333
2024-05-01,391,160.833333333333
2024-06-01,428,180.75
