variable,exposure_type,exposure_value,exposure_probability,lag_window,reference_value,RR,model_key,specification_order
t2m,lag,4.659152603,0.07,7,17.83579852,1.02409843478279,t2m__lag,1
t2m,lag,4.659152603,0.07,8,17.83579852,1.01590372807202,t2m__lag,1
t2m,lag,4.659152603,0.07,9,17.83579852,1.00481087375118,t2m__lag,1
t2m,lag,4.659152603,0.07,10,17.83579852,0.992376699274533,t2m__lag,1
t2m,lag,5.7758229574,0.1,0,17.83579852,0.947737259777099,t2m__lag,1
t2m,lag,5.7758229574,0.1,1,17.83579852,0.967305487094186,t2m__lag,1
t2m,lag,5.7758229574,0.1,2,17.83579852,0.985999419344411,t2m__lag,1
t2m,lag,5.7758229574,0.1,3,17.83579852,1.00245362366042,t2m__lag,1
t2m,lag,5.7758229574,0.1,4,17.83579852,1.01522862743035,t2m__lag,1
t2m,lag,5.7758229574,0.1,5,17.83579852,1.02285168987388,t2m__lag,1
t2m,lag,5.7758229574,0.1,6,17.83579852,1.0243198737387,t2m__lag,1
t2m,lag,5.7758229574,0.1,7,17.83579852,1.02048770568879,t2m__lag,1
t2m,lag,5.7758229574,0.1,8,17.83579852,1.01272583581015,t2m__lag,1
t2m,lag,5.7758229574,0.1,9,17.83579852,1.00242208211881,t2m__lag,1
t2m,lag,5.7758229574,0.1,10,17.83579852,0.990938431986328,t2m__lag,1
t2m,lag,6.669326401,0.13,0,17.83579852,0.955396033620069,t2m__lag,1
t2m,lag,6.669326401,0.13,1,17.83579852,0.97263522900293,t2m__lag,1
t2m,lag,6.669326401,0.13,2,17.83579852,0.989036967580022,t2m__lag,1
t2m,lag,6.669326401,0.13,3,17.83579852,1.0033835760056,t2m__lag,1
t2m,lag,6.669326401,0.13,4,17.83579852,1.01440026204238,t2m__lag,1
t2m,lag,6.669326401,0.13,5,17.83579852,1.02078807088142,t2m__lag,1
t2m,lag,6.669326401,0.13,6,17.83579852,1.02166770701208,t2m__lag,1
t2m,lag,6.669326401,0.13,7,17.83579852,1.0178121132937,t2m__lag,1
t2m,lag,6.669326401,0.13,8,17.83579852,1.01044682966014,t2m__lag,1
t2m,lag,6.669326401,0.13,9,17.83579852,1.00080911087192,t2m__lag,1
t2m,lag,6.669326401,0.13,10,17.83579852,0.990113545823467,t2m__lag,1
t2m,lag,7.56251696276,0.16,0,17.83579852,0.962379668680624,t2m__lag,1
t2m,lag,7.56251696276,0.16,1,17.83579852,0.977425143631688,t2m__lag,1
t2m,lag,7.56251696276,0.16,2,17.83579852,0.991682199581992,t2m__lag,1
t2m,lag,7.56251696276,0.16,3,17.83579852,1.00407329493276,t2m__lag,1
t2m,lag,7.56251696276,0.16,4,17.83579852,1.01347758126106,t2m__lag,1
t2m,lag,7.56251696276,0.16,5,17.83579852,1.01875710634168,t2m__lag,1
t2m,lag,7.56251696276,0.16,6,17.83579852,1.01914558391609,t2m__lag,1
t2m,lag,7.56251696276,0.16,7,17.83579852,1.01533551578643,t2m__lag,1
t2m,lag,7.56251696276,0.16,8,17.83579852,1.00841375262804,t2m__lag,1
t2m,lag,7.56251696276,0.16,9,17.83579852,0.999474756070428,t2m__lag,1
t2m,lag,7.56251696276,0.16,10,17.83579852,0.98959352026116,t2m__lag,1
t2m,lag,8.38318438184,0.19,0,17.83579852,0.968159869500223,t2m__lag,1
t2m,lag,8.38318438184,0.19,1,17.83579852,0.981321564082037,t2m__lag,1
t2m,lag,8.38318438184,0.19,2,17.83579852,0.993748602143036,t2m__lag,1
t2m,lag,8.38318438184,0.19,3,17.83579852,1.0044852533019,t2m__lag,1
t2m,lag,8.38318438184,0.19,4,17.83579852,1.01254275170407,t2m__lag,1
t2m,lag,8.38318438184,0.19,5,17.83579852,1.01692017895314,t2m__lag,1
t2m,lag,8.38318438184,0.19,6,17.83579852,1.01694625740018,t2m__lag,1
t2m,lag,8.38318438184,0.19,7,17.83579852,1.01324117951858,t2m__lag,1
t2m,lag,8.38318438184,0.19,8,17.83579852,1.0067703816766,t2m__lag,1
t2m,lag,8.38318438184,0.19,9,17.83579852,0.998504152540827,t2m__lag,1
t2m,lag,8.38318438184,0.19,10,17.83579852,0.989396211930412,t2m__lag,1
t2m,lag,9.143575923,0.22,0,17.83579852,0.972936521039037,t2m__lag,1
t2m,lag,9.143575923,0.22,1,17.83579852,0.984476146759271,t2m__lag,1
t2m,lag,9.143575923,0.22,2,17.83579852,0.995336683540153,t2m__lag,1
t2m,lag,9.143575923,0.22,3,17.83579852,1.00466914322956,t2m__lag,1
t2m,lag,9.143575923,0.22,4,17.83579852,1.011599202712,t2m__lag,1
t2m,lag,9.143575923,0.22,5,17.83579852,1.01524386683894,t2m__lag,1
t2m,lag,9.143575923,0.22,6,17.83579852,1.01501275387855,t2m__lag,1
t2m,lag,9.143575923,0.22,7,17.83579852,1.01146091564244,t2m__lag,1
t2m,lag,9.143575923,0.22,8,17.83579852,1.00544674667204,t2m__lag,1
t2m,lag,9.143575923,0.22,9,17.83579852,0.997831664837268,t2m__lag,1
t2m,lag,9.143575923,0.22,10,17.83579852,0.989463117356566,t2m__lag,1
t2m,lag,10.057553545,0.25,0,17.83579852,0.977896769549737,t2m__lag,1
t2m,lag,10.057553545,0.25,1,17.83579852,0.98765718267031,t2m__lag,1
t2m,lag,10.057553545,0.25,2,17.83579852,0.996810467506147,t2m__lag,1
t2m,lag,10.057553545,0.25,3,17.83579852,1.0046279348806,t2m__lag,1
t2m,lag,10.057553545,0.25,4,17.83579852,1.01036281786808,t2m__lag,1
t2m,lag,10.057553545,0.25,5,17.83579852,1.01326269689947,t2m__lag,1
t2m,lag,10.057553545,0.25,6,17.83579852,1.01282585504362,t2m__lag,1
t2m,lag,10.057553545,0.25,7,17.83579852,1.0095320187728,t2m__lag,1
t2m,lag,10.057553545,0.25,8,17.83579852,1.00411825210912,t2m__lag,1
t2m,lag,10.057553545,0.25,9,17.83579852,0.997323200103921,t2m__lag,1
t2m,lag,10.057553545,0.25,10,17.83579852,0.989874486599478,t2m__lag,1
t2m,lag,11.02585754,0.28,0,17.83579852,0.982207346190164,t2m__lag,1
t2m,lag,11.02585754,0.28,1,17.83579852,0.990294680638106,t2m__lag,1
t2m,lag,11.02585754,0.28,2,17.83579852,0.997854648621708,t2m__lag,1
t2m,lag,11.02585754,0.28,3,17.83579852,1.00427641662571,t2m__lag,1
t2m,lag,11.02585754,0.28,4,17.83579852,1.00893678165974,t2m__lag,1
t2m,lag,11.02585754,0.28,5,17.83579852,1.01120900188792,t2m__lag,1
t2m,lag,11.02585754,0.28,6,17.83579852,1.01067586409219,t2m__lag,1
t2m,lag,11.02585754,0.28,7,17.83579852,1.00774149932287,t2m__lag,1
t2m,lag,11.02585754,0.28,8,17.83579852,1.0030234890113,t2m__lag,1
t2m,lag,11.02585754,0.28,9,17.83579852,0.997140152113073,t2m__lag,1
t2m,lag,11.02585754,0.28,10,17.83579852,0.990701625994328,t2m__lag,1
t2m,lag,11.9703645724,0.31,0,17.83579852,0.98561185410847,t2m__lag,1
t2m,lag,11.9703645724,0.31,1,17.83579852,0.992257102554729,t2m__lag,1
t2m,lag,11.9703645724,0.31,2,17.83579852,0.998453880739537,t2m__lag,1
t2m,lag,11.9703645724,0.31,3,17.83579852,1.00369738420637,t2m__lag,1
t2m,lag,11.9703645724,0.31,4,17.83579852,1.00747449447845,t2m__lag,1
t2m,lag,11.9703645724,0.31,5,17.83579852,1.00926986927559,t2m__lag,1
t2m,lag,11.9703645724,0.31,6,17.83579852,1.00874067342485,t2m__lag,1
t2m,lag,11.9703645724,0.31,7,17.83579852,1.00622183341613,t2m__lag,1
t2m,lag,11.9703645724,0.31,8,17.83579852,1.00222313984175,t2m__lag,1
t2m,lag,11.9703645724,0.31,9,17.83579852,0.997254729928315,t2m__lag,1
t2m,lag,11.9703645724,0.31,10,17.83579852,0.991820953039634,t2m__lag,1
t2m,lag,12.97044896,0.34,0,17.83579852,0.988550753879542,t2m__lag,1
t2m,lag,12.97044896,0.34,1,17.83579852,0.993841188730234,t2m__lag,1
t2m,lag,12.97044896,0.34,2,17.83579852,0.998765946773672,t2m__lag,1
t2m,lag,12.97044896,0.34,3,17.83579852,1.00292369268497,t2m__lag,1
t2m,lag,12.97044896,0.34,4,17.83579852,1.00590785619876,t2m__lag,1
t2m,lag,12.97044896,0.34,5,17.83579852,1.00731051703691,t2m__lag,1
t2m,lag,12.97044896,0.34,6,17.83579852,1.00686027360657,t2m__lag,1
t2m,lag,12.97044896,0.34,7,17.83579852,1.00482377564322,t2m__lag,1
t2m,lag,12.97044896,0.34,8,17.83579852,1.00160559956387,t2m__lag,1
t2m,lag,12.97044896,0.34,9,17.83579852,0.997610507432685,t2m__lag,1
t2m,lag,12.97044896,0.34,10,17.83579852,0.993239540845161,t2m__lag,1
t2m,lag,13.93721161,0.37,0,17.83579852,0.990935393287634,t2m__lag,1
t2m,lag,13.93721161,0.37,1,17.83579852,0.995050939118451,t2m__lag,1
t2m,lag,13.93721161,0.37,2,17.83579852,0.998878879920791,t2m__lag,1
t2m,lag,13.93721161,0.37,3,17.83579852,1.00211008682739,t2m__lag,1
t2m,lag,13.93721161,0.37,4,17.83579852,1.00443229065287,t2m__lag,1
t2m,lag,13.93721161,0.37,5,17.83579852,1.00553240516267,t2m__lag,1
t2m,lag,13.93721161,0.37,6,17.83579852,1.005202000533,t2m__lag,1
t2m,lag,13.93721161,0.37,7,17.83579852,1.00364653599131,t2m__lag,1
t2m,lag,13.93721161,0.37,8,17.83579852,1.00117700278562,t2m__lag,1
t2m,lag,13.93721161,0.37,9,17.83579852,0.998104530189855,t2m__lag,1
t2m,lag,13.93721161,0.37,10,17.83579852,0.994738052016606,t2m__lag,1
t2m,lag,14.8802213,0.4,0,17.83579852,0.993016239408152,t2m__lag,1
t2m,lag,14.8802213,0.4,1,17.83579852,0.996080238218694,t2m__lag,1
t2m,lag,14.8802213,0.4,2,17.83579852,0.998930261330157,t2m__lag,1
t2m,lag,14.8802213,0.4,3,17.83579852,1.00134045114652,t2m__lag,1
t2m,lag,14.8802213,0.4,4,17.83579852,1.00308322953016,t2m__lag,1
t2m,lag,14.8802213,0.4,5,17.83579852,1.00393054684323,t2m__lag,1
t2m,lag,14.8802213,0.4,6,17.83579852,1.00373046733455,t2m__lag,1
t2m,lag,14.8802213,0.4,7,17.83579852,1.00263309460905,t2m__lag,1
t2m,lag,14.8802213,0.4,8,17.83579852,1.00086518362415,t2m__lag,1
t2m,lag,14.8802213,0.4,9,17.83579852,0.998653604113072,t2m__lag,1
t2m,lag,14.8802213,0.4,10,17.83579852,0.996224086932378,t2m__lag,1
t2m,lag,15.84765269,0.43,0,17.83579852,0.995091092283782,t2m__lag,1
t2m,lag,15.84765269,0.43,1,17.83579852,0.997138418013436,t2m__lag,1
t2m,lag,15.84765269,0.43,2,17.83579852,0.99904446803868,t2m__lag,1
t2m,lag,15.84765269,0.43,3,17.83579852,1.00066269313168,t2m__lag,1
t2m,lag,15.84765269,0.43,4,17.83579852,1.001845788022,t2m__lag,1
t2m,lag,15.84765269,0.43,5,17.83579852,1.00244622088467,t2m__lag,1
t2m,lag,15.84765269,0.43,6,17.83579852,1.00236563102358,t2m__lag,1
t2m,lag,15.84765269,0.43,7,17.83579852,1.00170142077419,t2m__lag,1
t2m,lag,15.84765269,0.43,8,17.83579852,1.00060044344603,t2m__lag,1
t2m,lag,15.84765269,0.43,9,17.83579852,0.999209631066263,t2m__lag,1
t2m,lag,15.84765269,0.43,10,17.83579852,0.997675463324497,t2m__lag,1
t2m,lag,16.75265083,0.46,0,17.83579852,0.997150659696714,t2m__lag,1
t2m,lag,16.75265083,0.46,1,17.83579852,0.99827172901461,t2m__lag,1
t2m,lag,16.75265083,0.46,2,17.83579852,0.9993170323291,t2m__lag,1
t2m,lag,16.75265083,0.46,3,17.83579852,1.0002092339296,t2m__lag,1
t2m,lag,16.75265083,0.46,4,17.83579852,1.0008707758019,t2m__lag,1
t2m,lag,16.75265083,0.46,5,17.83579852,1.00122402600647,t2m__lag,1
t2m,lag,16.75265083,0.46,6,17.83579852,1.00121721000296,t2m__lag,1
t2m,lag,16.75265083,0.46,7,17.83579852,1.00090176420202,t2m__lag,1
t2m,lag,16.75265083,0.46,8,17.83579852,1.00035508074725,t2m__lag,1
t2m,lag,16.75265083,0.46,9,17.83579852,0.999654585128213,t2m__lag,1
t2m,lag,16.75265083,0.46,10,17.83579852,0.998877587510004,t2m__lag,1
t2m,lag,17.57365125,0.49,0,17.83579852,0.999258245910544,t2m__lag,1
t2m,lag,17.57365125,0.49,1,17.83579852,0.999533433701387,t2m__lag,1
t2m,lag,17.57365125,0.49,2,17.83579852,0.999790501180812,t2m__lag,1
t2m,lag,17.57365125,0.49,3,17.83579852,1.00001123421698,t2m__lag,1
t2m,lag,17.57365125,0.49,4,17.83579852,1.00017740557981,t2m__lag,1
t2m,lag,17.57365125,0.49,5,17.83579852,1.0002707832191,t2m__lag,1
t2m,lag,17.57365125,0.49,6,17.83579852,1.00027921011956,t2m__lag,1
t2m,lag,17.57365125,0.49,7,17.83579852,1.00021481982908,t2m__lag,1
t2m,lag,17.57365125,0.49,8,17.83579852,1.00009582773114,t2m__lag,1
t2m,lag,17.57365125,0.49,9,17.83579852,0.999940451807985,t2m__lag,1
t2m,lag,17.57365125,0.49,10,17.83579852,0.999766904357697,t2m__lag,1
t2m,lag,18.33761431,0.52,0,17.83579852,1.00152885396857,t2m__lag,1
t2m,lag,18.33761431,0.52,1,17.83579852,1.00099078124551,t2m__lag,1
t2m,lag,18.33761431,0.52,2,17.83579852,1.00048722272658,t2m__lag,1
t2m,lag,18.33761431,0.52,3,17.83579852,1.00005233685171,t2m__lag,1
t2m,lag,18.33761431,0.52,4,17.83579852,0.999720233159755,t2m__lag,1
t2m,lag,18.33761431,0.52,5,17.83579852,0.999525001568039,t2m__lag,1
t2m,lag,18.33761431,0.52,6,17.83579852,0.999489356041598,t2m__lag,1
t2m,lag,18.33761431,0.52,7,17.83579852,0.999590482559065,t2m__lag,1
t2m,lag,18.33761431,0.52,8,17.83579852,0.999794220050303,t2m__lag,1
t2m,lag,18.33761431,0.52,9,17.83579852,1.00006641935483,t2m__lag,1
t2m,lag,18.33761431,0.52,10,17.83579852,1.00037291398058,t2m__lag,1
t2m,lag,19.13589058,0.55,0,17.83579852,1.00423693120085,t2m__lag,1
t2m,lag,19.13589058,0.55,1,17.83579852,1.00279988845357,t2m__lag,1
t2m,lag,19.13589058,0.55,2,17.83579852,1.00145349223066,t2m__lag,1
t2m,lag,19.13589058,0.55,3,17.83579852,1.00028586961246,t2m__lag,1
t2m,lag,19.13589058,0.55,4,17.83579852,0.999384806335055,t2m__lag,1
t2m,lag,19.13589058,0.55,5,17.83579852,0.998837942923895,t2m__lag,1
t2m,lag,19.13589058,0.55,6,17.83579852,0.998703597361844,t2m__lag,1
t2m,lag,19.13589058,0.55,7,17.83579852,0.998922688035539,t2m__lag,1
t2m,lag,19.13589058,0.55,8,17.83579852,0.999407030646673,t2m__lag,1
t2m,lag,19.13589058,0.55,9,17.83579852,1.00006853553219,t2m__lag,1
t2m,lag,19.13589058,0.55,10,17.83579852,1.00081901228422,t2m__lag,1
t2m,lag,19.8929643,0.58,0,17.83579852,1.00708276374918,t2m__lag,1
t2m,lag,19.8929643,0.58,1,17.83579852,1.00472563510135,t2m__lag,1
t2m,lag,19.8929643,0.58,2,17.83579852,1.00251653746487,t2m__lag,1
t2m,lag,19.8929643,0.58,3,17.83579852,1.00059675901268,t2m__lag,1
t2m,lag,19.8929643,0.58,4,17.83579852,0.99910668418785,t2m__lag,1
t2m,lag,19.8929643,0.58,5,17.83579852,0.998186301186847,t2m__lag,1
t2m,lag,19.8929643,0.58,6,17.83579852,0.997928615404307,t2m__lag,1
t2m,lag,19.8929643,0.58,7,17.83579852,0.998238498643892,t2m__lag,1
t2m,lag,19.8929643,0.58,8,17.83579852,0.998974449053866,t2m__lag,1
t2m,lag,19.8929643,0.58,9,17.83579852,0.999995233058439,t2m__lag,1
t2m,lag,19.8929643,0.58,10,17.83579852,1.00115938123578,t2m__lag,1
t2m,lag,20.64833094,0.61,0,17.83579852,1.01015240302128,t2m__lag,1
t2m,lag,20.64833094,0.61,1,17.83579852,1.0067912860169,t2m__lag,1
t2m,lag,20.64833094,0.61,2,17.83579852,1.00364263463161,t2m__lag,1
t2m,lag,20.64833094,0.61,3,17.83579852,1.0009052562524,t2m__lag,1
t2m,lag,20.64833094,0.61,4,17.83579852,0.998776141617798,t2m__lag,1
t2m,lag,20.64833094,0.61,5,17.83579852,0.997451476956505,t2m__lag,1
t2m,lag,20.64833094,0.61,6,17.83579852,0.997061382943015,t2m__lag,1
t2m,lag,20.64833094,0.61,7,17.83579852,0.997471378396039,t2m__lag,1
t2m,lag,20.64833094,0.61,8,17.83579852,0.998482163303135,t2m__lag,1
t2m,lag,20.64833094,0.61,9,17.83579852,0.99989499318263,t2m__lag,1
t2m,lag,20.64833094,0.61,10,17.83579852,1.00151067666898,t2m__lag,1
t2m,lag,21.3790987664,0.64,0,17.83579852,1.01330460411888,t2m__lag,1
t2m,lag,21.3790987664,0.64,1,17.83579852,1.008871484997,t2m__lag,1
t2m,lag,21.3790987664,0.64,2,17.83579852,1.00472307776658,t2m__lag,1
t2m,lag,21.3790987664,0.64,3,17.83579852,1.00112039071902,t2m__lag,1
t2m,lag,21.3790987664,0.64,4,17.83579852,0.998321293768899,t2m__lag,1
t2m,lag,21.3790987664,0.64,5,17.83579852,0.996582276658954,t2m__lag,1
t2m,lag,21.3790987664,0.64,6,17.83579852,0.996073182974953,t2m__lag,1
t2m,lag,21.3790987664,0.64,7,17.83579852,0.996616639303197,t2m__lag,1
t2m,lag,21.3790987664,0.64,8,17.83579852,0.997950770443402,t2m__lag,1
t2m,lag,21.3790987664,0.64,9,17.83579852,0.999814660243849,t2m__lag,1
t2m,lag,21.3790987664,0.64,10,17.83579852,1.00194661546504,t2m__lag,1
t2m,lag,22.0677920504,0.67,0,17.83579852,1.01640759659284,t2m__lag,1
t2m,lag,22.0677920504,0.67,1,17.83579852,1.01085692049009,t2m__lag,1
t2m,lag,22.0677920504,0.67,2,17.83579852,1.00567082737608,t2m__lag,1
t2m,lag,22.0677920504,0.67,3,17.83579852,1.00117678351994,t2m__lag,1
t2m,lag,22.0677920504,0.67,4,17.83579852,0.997697351791013,t2m__lag,1
t2m,lag,22.0677920504,0.67,5,17.83579852,0.995552981757505,t2m__lag,1
t2m,lag,22.0677920504,0.67,6,17.83579852,0.994955587994771,t2m__lag,1
t2m,lag,22.0677920504,0.67,7,17.83579852,0.99568169322764,t2m__lag,1
t2m,lag,22.0677920504,0.67,8,17.83579852,0.997402564092311,t2m__lag,1
t2m,lag,22.0677920504,0.67,9,17.83579852,0.999790930638531,t2m__lag,1
t2m,lag,22.0677920504,0.67,10,17.83579852,1.00251823880132,t2m__lag,1
t2m,lag,22.74694341,0.7,0,17.83579852,1.01956361462048,t2m__lag,1
t2m,lag,22.74694341,0.7,1,17.83579852,1.01279364716682,t2m__lag,1
t2m,lag,22.74694341,0.7,2,17.83579852,1.00648102859876,t2m__lag,1
t2m,lag,22.74694341,0.7,3,17.83579852,1.00102791076309,t2m__lag,1
t2m,lag,22.74694341,0.7,4,17.83579852,0.996829159272529,t2m__lag,1
t2m,lag,22.74694341,0.7,5,17.83579852,0.994276598799735,t2m__lag,1
t2m,lag,22.74694341,0.7,6,17.83579852,0.993629087505808,t2m__lag,1
t2m,lag,22.74694341,0.7,7,17.83579852,0.994611125442212,t2m__lag,1
t2m,lag,22.74694341,0.7,8,17.83579852,0.996818942740444,t2m__lag,1
t2m,lag,22.74694341,0.7,9,17.83579852,0.99985085148154,t2m__lag,1
t2m,lag,22.74694341,0.7,10,17.83579852,1.00330307576265,t2m__lag,1
t2m,lag,23.4273199982,0.73,0,17.83579852,1.02279173736441,t2m__lag,1
t2m,lag,23.4273199982,0.73,1,17.83579852,1.01466872169903,t2m__lag,1
t2m,lag,23.4273199982,0.73,2,17.83579852,1.00711284368317,t2m__lag,1
t2m,lag,23.4273199982,0.73,3,17.83579852,1.00061174257073,t2m__lag,1
t2m,lag,23.4273199982,0.73,4,17.83579852,0.995642563737325,t2m__lag,1
t2m,lag,23.4273199982,0.73,5,17.83579852,0.992678262304158,t2m__lag,1
t2m,lag,23.4273199982,0.73,6,17.83579852,0.992031129406099,t2m__lag,1
t2m,lag,23.4273199982,0.73,7,17.83579852,0.993365990018997,t2m__lag,1
t2m,lag,23.4273199982,0.73,8,17.83579852,0.996193427613098,t2m__lag,1
t2m,lag,23.4273199982,0.73,9,17.83579852,1.0000268402857,t2m__lag,1
t2m,lag,23.4273199982,0.73,10,17.83579852,1.00437626303395,t2m__lag,1
t2m,lag,24.0890626028,0.76,0,17.83579852,1.02596739297712,t2m__lag,1
t2m,lag,24.0890626028,0.76,1,17.83579852,1.01638818660873,t2m__lag,1
t2m,lag,24.0890626028,0.76,2,17.83579852,1.00750202372745,t2m__lag,1
t2m,lag,24.0890626028,0.76,3,17.83579852,0.999891282852772,t2m__lag,1
t2m,lag,24.0890626028,0.76,4,17.83579852,0.994123732924178,t2m__lag,1
t2m,lag,24.0890626028,0.76,5,17.83579852,0.99076162013471,t2m__lag,1
t2m,lag,24.0890626028,0.76,6,17.83579852,0.990176220889348,t2m__lag,1
t2m,lag,24.0890626028,0.76,7,17.83579852,0.991966220582502,t2m__lag,1
t2m,lag,24.0890626028,0.76,8,17.83579852,0.995547712869378,t2m__lag,1
t2m,lag,24.0890626028,0.76,9,17.83579852,1.00034040543973,t2m__lag,1
t2m,lag,24.0890626028,0.76,10,17.83579852,1.00575873099606,t2m__lag,1
t2m,lag,24.7704179374,0.79,0,17.83579852,1.02925617367427,t2m__lag,1
t2m,lag,24.7704179374,0.79,1,17.83579852,1.01802709728508,t2m__lag,1
t2m,lag,24.7704179374,0.79,2,17.83579852,1.00764248727358,t2m__lag,1
t2m,lag,24.7704179374,0.79,3,17.83579852,0.998794532903147,t2m__lag,1
t2m,lag,24.7704179374,0.79,4,17.83579852,0.992155329643693,t2m__lag,1
t2m,lag,24.7704179374,0.79,5,17.83579852,0.988389872428152,t2m__lag,1
t2m,lag,24.7704179374,0.79,6,17.83579852,0.987937623766482,t2m__lag,1
t2m,lag,24.7704179374,0.79,7,17.83579852,0.990320723601165,t2m__lag,1
t2m,lag,24.7704179374,0.79,8,17.83579852,0.994846410715064,t2m__lag,1
t2m,lag,24.7704179374,0.79,9,17.83579852,1.00082641556962,t2m__lag,1
t2m,lag,24.7704179374,0.79,10,17.83579852,1.00756426842683,t2m__lag,1
t2m,lag,25.48267708,0.82,0,17.83579852,1.03271295784979,t2m__lag,1
t2m,lag,25.48267708,0.82,1,17.83579852,1.01960289927499,t2m__lag,1
t2m,lag,25.48267708,0.82,2,17.83579852,1.00751969422157,t2m__lag,1
t2m,lag,25.48267708,0.82,3,17.83579852,0.997282321676924,t2m__lag,1
t2m,lag,25.48267708,0.82,4,17.83579852,0.989682379452837,t2m__lag,1
t2m,lag,25.48267708,0.82,5,17.83579852,0.985502529987946,t2m__lag,1
t2m,lag,25.48267708,0.82,6,17.83579852,0.985260794610076,t2m__lag,1
t2m,lag,25.48267708,0.82,7,17.83579852,0.988391149686671,t2m__lag,1
t2m,lag,25.48267708,0.82,8,17.83579852,0.994076106362522,t2m__lag,1
t2m,lag,25.48267708,0.82,9,17.83579852,1.00150360398916,t2m__lag,1
t2m,lag,25.48267708,0.82,10,17.83579852,1.00984901161311,t2m__lag,1
t2m,lag,26.234111978,0.85,0,17.83579852,1.03638034318437,t2m__lag,1
t2m,lag,26.234111978,0.85,1,17.83579852,1.02112212470117,t2m__lag,1
t2m,lag,26.234111978,0.85,2,17.83579852,1.00711023377031,t2m__lag,1
t2m,lag,26.234111978,0.85,3,17.83579852,0.995309020020709,t2m__lag,1
t2m,lag,26.234111978,0.85,4,17.83579852,0.986645825136839,t2m__lag,1
t2m,lag,26.234111978,0.85,5,17.83579852,0.982036977677036,t2m__lag,1
t2m,lag,26.234111978,0.85,6,17.83579852,0.982090442577477,t2m__lag,1
t2m,lag,26.234111978,0.85,7,17.83579852,0.986139475333455,t2m__lag,1
t2m,lag,26.234111978,0.85,8,17.83579852,0.99322493789706,t2m__lag,1
t2m,lag,26.234111978,0.85,9,17.83579852,1.00239408308472,t2m__lag,1
t2m,lag,26.234111978,0.85,10,17.83579852,1.01267520732949,t2m__lag,1
t2m,lag,27.05423508,0.88,0,17.83579852,1.04040644208982,t2m__lag,1
t2m,lag,27.05423508,0.88,1,17.83579852,1.02262379010963,t2m__lag,1
t2m,lag,27.05423508,0.88,2,17.83579852,1.00635910095524,t2m__lag,1
t2m,lag,27.05423508,0.88,3,17.83579852,0.992746855048106,t2m__lag,1
t2m,lag,27.05423508,0.88,4,17.83579852,0.982871503329663,t2m__lag,1
t2m,lag,27.05423508,0.88,5,17.83579852,0.977804151871779,t2m__lag,1
t2m,lag,27.05423508,0.88,6,17.83579852,0.978257992824414,t2m__lag,1
t2m,lag,27.05423508,0.88,7,17.83579852,0.983448998995949,t2m__lag,1
t2m,lag,27.05423508,0.88,8,17.83579852,0.992254238047826,t2m__lag,1
