variable,exposure,exposure_type,window,term,coefficient,coefficient_sd,RR,lower_95_CrI,upper_95_CrI,n_rows,n_strata,DIC,WAIC,pc_prior_U,pc_prior_alpha,elapsed_seconds,prior_key,prior_label,prior_order,window_label,window_order,model_key,specification_order,status,error_message
ssr,Solar radiation,mavg,4,ssr_mavg4,0.00250454364434273,0.00105737733856948,1.00250768263381,1.00043122450544,1.00458845059194,128557,29147,144785.089471407,144783.863648806,2,0.01,6.11,pc_u2,PC prior U = 2,1,Moving average 4,2,pc_u2__ssr__mavg__04,12,ok,
uv,Wind speed,mavg,4,uv_mavg4,-0.0352481647124624,0.00740836328372895,0.965365816798384,0.951443255953477,0.979492107705295,128557,29147,144768.23722513,144767.016489328,2,0.01,6.2,pc_u2,PC prior U = 2,1,Moving average 4,2,pc_u2__uv__mavg__04,13,ok,
sp,Surface pressure,mavg,4,sp_mavg4,-0.000608114428891883,0.00207439365160214,0.999392070435213,0.995335119885274,1.00346555702297,128557,29147,144790.793378605,144789.587840617,2,0.01,6.14,pc_u2,PC prior U = 2,1,Moving average 4,2,pc_u2__sp__mavg__04,14,ok,
tp,Total precipitation,mavg,4,tp_mavg4,-0.000963131184920946,0.00101748608540712,0.999037332477051,0.997046051027889,1.00103259087108,128557,29147,144789.921326028,144788.72517617,2,0.01,6.06,pc_u2,PC prior U = 2,1,Moving average 4,2,pc_u2__tp__mavg__04,15,ok,
PM25,PM2.5,mavg,4,PM25_mavg4,0.00029283658771132,0.000201352223449075,1.00029287946853,0.999898010049554,1.00068790482808,128557,29147,144788.633875333,144787.417972015,2,0.01,6.18000000000001,pc_u2,PC prior U = 2,1,Moving average 4,2,pc_u2__PM25__mavg__04,16,ok,
PM10,PM10,mavg,4,PM10_mavg4,0.000320637557203221,0.000144615756482425,1.00032068896692,1.00003706108927,1.00060439728912,128557,29147,144785.813116077,144784.595488412,2,0.01,6.14,pc_u2,PC prior U = 2,1,Moving average 4,2,pc_u2__PM10__mavg__04,17,ok,
O3,O3,mavg,4,O3_mavg4,0.000298486692288932,0.00016669921443165,1.00029853124387,0.999971606468909,1.00062556290259,128557,29147,144787.509377171,144786.294759119,2,0.01,6.21000000000001,pc_u2,PC prior U = 2,1,Moving average 4,2,pc_u2__O3__mavg__04,18,ok,
t2m,Temperature,lag,3,t2m_lag3,0.000100979666907986,0.000710338880556092,1.00010098476553,0.998708909744994,1.00149500016276,128557,29147,144790.778939608,144789.554897316,3,0.01,6.13999999999999,pc_u3_baseline,PC prior U = 3 (baseline),2,Single lag 3,1,pc_u3_baseline__t2m__lag__03,19,ok,
rh,Relative humidity,lag,3,rh_lag3,-0.00130190112202406,0.000485291594663579,0.998698945983586,0.997749027450768,0.999649768924586,128557,29147,144783.87730516,144782.651417476,3,0.01,6.10999999999999,pc_u3_baseline,PC prior U = 3 (baseline),2,Single lag 3,1,pc_u3_baseline__rh__lag__03,20,ok,
ssr,Solar radiation,lag,3,ssr_lag3,0.00187009355000193,0.000800292587251958,1.00187184326549,1.00030084440244,1.00344530942665,128557,29147,144785.273281372,144784.05017573,3,0.01,6.13,pc_u3_baseline,PC prior U = 3 (baseline),2,Single lag 3,1,pc_u3_baseline__ssr__lag__03,21,ok,
uv,Wind speed,lag,3,uv_lag3,-0.0233371253652307,0.00518850852923147,0.976933079329925,0.967044006752322,0.986923278356251,128557,29147,144770.550059013,144769.339838094,3,0.01,6.40000000000001,pc_u3_baseline,PC prior U = 3 (baseline),2,Single lag 3,1,pc_u3_baseline__uv__lag__03,22,ok,
sp,Surface pressure,lag,3,sp_lag3,0.000368686234683165,0.00207081895296019,1.00036875420781,0.996314822667534,1.00443918095714,128557,29147,144790.582667519,144789.38054533,3,0.01,6.11000000000001,pc_u3_baseline,PC prior U = 3 (baseline),2,Single lag 3,1,pc_u3_baseline__sp__lag__03,23,ok,
tp,Total precipitation,lag,3,tp_lag3,-0.000344711142309182,0.000627934172576817,0.999655348263751,0.998425213500603,1.00088699864438,128557,29147,144790.519806545,144789.33848239,3,0.01,6.13999999999999,pc_u3_baseline,PC prior U = 3 (baseline),2,Single lag 3,1,pc_u3_baseline__tp__lag__03,24,ok,
PM25,PM2.5,lag,3,PM25_lag3,6.22180513465182e-05,0.000180485645731549,1.00006221998693,0.999708346139668,1.00041621909841,128557,29147,144790.672976012,144789.448375307,3,0.01,6.11000000000001,pc_u3_baseline,PC prior U = 3 (baseline),2,Single lag 3,1,pc_u3_baseline__PM25__lag__03,25,ok,
PM10,PM10,lag,3,PM10_lag3,0.000152264339705391,0.000128623573523048,1.00015227593251,0.999900051264227,1.00040456422567,128557,29147,144789.362314885,144788.133570522,3,0.01,6.16,pc_u3_baseline,PC prior U = 3 (baseline),2,Single lag 3,1,pc_u3_baseline__PM10__lag__03,26,ok,
O3,O3,lag,3,O3_lag3,0.000236004492981497,0.00014348896803911,1.00023603234423,0.999954637886268,1.00051750598872,128557,29147,144788.035751156,144786.818060186,3,0.01,6.14000000000002,pc_u3_baseline,PC prior U = 3 (baseline),2,Single lag 3,1,pc_u3_baseline__O3__lag__03,27,ok,
t2m,Temperature,mavg,4,t2m_mavg4,0.000724980882646073,0.000728808841554127,1.00072524374481,0.999296106875742,1.00215642448898,128557,29147,144789.779358944,144788.556164459,3,0.01,6.11000000000001,pc_u3_baseline,PC prior U = 3 (baseline),2,Moving average 4,2,pc_u3_baseline__t2m__mavg__04,28,ok,
rh,Relative humidity,mavg,4,rh_mavg4,-0.000998700288803173,0.000614828870816694,0.999001798246354,0.997798109014782,1.00020693957613,128557,29147,144788.367554833,144787.147805205,3,0.01,6.09999999999999,pc_u3_baseline,PC prior U = 3 (baseline),2,Moving average 4,2,pc_u3_baseline__rh__mavg__04,29,ok,
ssr,Solar radiation,mavg,4,ssr_mavg4,0.0025045438853381,0.00105737738922962,1.00250768287541,1.00043122464719,1.00458845093386,128557,29147,144785.098817733,144783.871917693,3,0.01,6.11000000000001,pc_u3_baseline,PC prior U = 3 (baseline),2,Moving average 4,2,pc_u3_baseline__ssr__mavg__04,30,ok,
uv,Wind speed,mavg,4,uv_mavg4,-0.0352481675421993,0.00740836363844481,0.965365814066653,0.951443252599059,0.9794921056146,128557,29147,144768.24657226,144767.024758117,3,0.01,6.22999999999999,pc_u3_baseline,PC prior U = 3 (baseline),2,Moving average 4,2,pc_u3_baseline__uv__mavg__04,31,ok,
sp,Surface pressure,mavg,4,sp_mavg4,-0.000608113660675651,0.00207439381315146,0.999392071202962,0.995335120334732,1.00346555811187,128557,29147,144790.802725765,144789.596109716,3,0.01,6.13999999999999,pc_u3_baseline,PC prior U = 3 (baseline),2,Moving average 4,2,pc_u3_baseline__sp__mavg__04,32,ok,
tp,Total precipitation,mavg,4,tp_mavg4,-0.000963131353085863,0.0010174861167164,0.999037332309048,0.997046050798995,1.00103259076419,128557,29147,144789.930671919,144788.733445015,3,0.01,6.11000000000001,pc_u3_baseline,PC prior U = 3 (baseline),2,Moving average 4,2,pc_u3_baseline__tp__mavg__04,33,ok,
PM25,PM2.5,mavg,4,PM25_mavg4,0.000292836639699049,0.000201352236194199,1.00029287952053,0.999898010076554,1.00068790490512,128557,29147,144788.643221071,144787.426240566,3,0.01,6.13999999999999,pc_u3_baseline,PC prior U = 3 (baseline),2,Moving average 4,2,pc_u3_baseline__PM25__mavg__04,34,ok,
PM10,PM10,mavg,4,PM10_mavg4,0.000320637608646556,0.000144615765545557,1.00032068901838,1.00003706112295,1.00060439735839,128557,29147,144785.822463705,144784.603758396,3,0.01,6.39000000000002,pc_u3_baseline,PC prior U = 3 (baseline),2,Moving average 4,2,pc_u3_baseline__PM10__mavg__04,35,ok,
O3,O3,mavg,4,O3_mavg4,0.000298486711551588,0.000166699223672892,1.00029853126314,0.999971606470053,1.00062556294,128557,29147,144787.518721897,144786.303026873,3,0.01,6,pc_u3_baseline,PC prior U = 3 (baseline),2,Moving average 4,2,pc_u3_baseline__O3__mavg__04,36,ok,
t2m,Temperature,lag,3,t2m_lag3,0.000100979655751798,0.000710338905978174,1.00010098475437,0.998708909684064,1.00149500020151,128557,29147,144790.783625114,144789.559042856,4,0.01,6.03,pc_u4,PC prior U = 4,3,Single lag 3,1,pc_u4__t2m__lag__03,37,ok,
rh,Relative humidity,lag,3,rh_lag3,-0.00130190063200896,0.000485291602806287,0.998698946472963,0.997749027923785,0.999649769430427,128557,29147,144783.881990703,144782.655562408,4,0.01,6.16999999999999,pc_u4,PC prior U = 4,3,Single lag 3,1,pc_u4__rh__lag__03,38,ok,
ssr,Solar radiation,lag,3,ssr_lag3,0.00187009359849771,0.000800292601697562,1.00187184331407,1.00030084442262,1.00344530950374,128557,29147,144785.277967072,144784.054321302,4,0.01,6.57999999999998,pc_u4,PC prior U = 4,3,Single lag 3,1,pc_u4__ssr__lag__03,39,ok,
uv,Wind speed,lag,3,uv_lag3,-0.0233371259438922,0.00518850861219721,0.976933078764612,0.967044006035364,0.986923277945677,128557,29147,144770.554744454,144769.343983154,4,0.01,6.82999999999998,pc_u4,PC prior U = 4,3,Single lag 3,1,pc_u4__uv__lag__03,40,ok,
sp,Surface pressure,lag,3,sp_lag3,0.000368686690107906,0.00207081903350869,1.0003687546634,0.996314822963991,1.00443918157331,128557,29147,144790.587352912,144789.384690307,4,0.01,6.63999999999999,pc_u4,PC prior U = 4,3,Single lag 3,1,pc_u4__sp__lag__03,41,ok,
tp,Total precipitation,lag,3,tp_lag3,-0.000344711163260123,0.000627934179153565,0.999655348242807,0.998425213466808,1.00088699863632,128557,29147,144790.524491912,144789.342627842,4,0.01,6.13,pc_u4,PC prior U = 4,3,Single lag 3,1,pc_u4__tp__lag__03,42,ok,
PM25,PM2.5,lag,3,PM25_lag3,6.2218062078998e-05,0.000180485650586326,1.00006221999766,0.999708346140881,1.00041621911867,128557,29147,144790.677661446,144789.452520804,4,0.01,6.13999999999999,pc_u4,PC prior U = 4,3,Single lag 3,1,pc_u4__PM25__lag__03,43,ok,
PM10,PM10,lag,3,PM10_lag3,0.000152264353275034,0.000128623577005832,1.00015227594608,0.999900051270968,1.00040456424608,128557,29147,144789.367000875,144788.137716441,4,0.01,6.12000000000001,pc_u4,PC prior U = 4,3,Single lag 3,1,pc_u4__PM10__lag__03,44,ok,
O3,O3,lag,3,O3_lag3,0.000236004494078903,0.000143488971256816,1.00023603234533,0.999954637881056,1.00051750599613,128557,29147,144788.040435758,144786.822204942,4,0.01,6.18000000000001,pc_u4,PC prior U = 4,3,Single lag 3,1,pc_u4__O3__lag__03,45,ok,
t2m,Temperature,mavg,4,t2m_mavg4,0.000724980915809394,0.000728808868869458,1.00072524377799,0.999296106855362,1.0021564245759,128557,29147,144789.784043167,144788.560308841,4,0.01,6.11000000000001,pc_u4,PC prior U = 4,3,Moving average 4,2,pc_u4__t2m__mavg__04,46,ok,
rh,Relative humidity,mavg,4,rh_mavg4,-0.000998699818655212,0.000614828883586979,0.999001798716033,0.997798109458952,1.00020694007147,128557,29147,144788.37224164,144787.151951339,4,0.01,6.06999999999999,pc_u4,PC prior U = 4,3,Moving average 4,2,pc_u4__rh__mavg__04,47,ok,
ssr,Solar radiation,mavg,4,ssr_mavg4,0.00250454400616778,0.00105737741434387,1.00250768299654,1.00043122471881,1.00458845110473,128557,29147,144785.103503587,144783.876063363,4,0.01,6.11000000000001,pc_u4,PC prior U = 4,3,Moving average 4,2,pc_u4__ssr__mavg__04,48,ok,
uv,Wind speed,mavg,4,uv_mavg4,-0.0352481689607962,0.00740836381320626,0.965365812697188,0.951443250923145,0.979492104560612,128557,29147,144768.251258222,144767.028903476,4,0.01,6.08999999999998,pc_u4,PC prior U = 4,3,Moving average 4,2,pc_u4__uv__mavg__04,49,ok,
sp,Surface pressure,mavg,4,sp_mavg4,-0.000608113275491021,0.00207439389528019,0.999392071587912,0.995335120557889,1.00346555866006,128557,29147,144790.807412147,144789.600255587,4,0.01,6.13999999999999,pc_u4,PC prior U = 4,3,Moving average 4,2,pc_u4__sp__mavg__04,50,ok,
tp,Total precipitation,mavg,4,tp_mavg4,-0.000963131437429951,0.00101748613431864,0.999037332224785,0.997046050680479,1.00103259071431,128557,29147,144789.935357429,144788.737590551,4,0.01,6.13999999999999,pc_u4,PC prior U = 4,3,Moving average 4,2,pc_u4__tp__mavg__04,51,ok,
PM25,PM2.5,mavg,4,PM25_mavg4,0.000292836665767457,0.000201352242488486,1.00029287954661,0.999898010090282,1.00068790494356,128557,29147,144788.647907174,144787.430386552,4,0.01,6.08999999999998,pc_u4,PC prior U = 4,3,Moving average 4,2,pc_u4__PM25__mavg__04,52,ok,
PM10,PM10,mavg,4,PM10_mavg4,0.000320637634425496,0.00014461577001905,1.00032068904417,1.00003706113996,1.00060439739296,128557,29147,144785.827147781,144784.607902457,4,0.01,6.62000000000001,pc_u4,PC prior U = 4,3,Moving average 4,2,pc_u4__PM10__mavg__04,53,ok,
O3,O3,mavg,4,O3_mavg4,0.000298486721212558,0.000166699228246642,1.00029853127281,0.999971606470746,1.00062556295864,128557,29147,144787.523408481,144786.307173334,4,0.01,6.41000000000003,pc_u4,PC prior U = 4,3,Moving average 4,2,pc_u4__O3__mavg__04,54,ok,
