variable,exposure,exposure_type,window,term,coefficient,coefficient_sd,RR,lower_95_CrI,upper_95_CrI,n_rows,n_strata,DIC,WAIC,pc_prior_U,pc_prior_alpha,elapsed_seconds,group_key,group_type,subgroup,group_order,subgroup_order,window_label,model_key,specification_order,status,error_message
rh,Relative humidity,mavg,4,rh_mavg4,-0.000998700288724141,0.000614828871094822,0.999001798246433,0.997798109014317,1.00020693957676,128557,29147,144788.367555602,144787.147805889,3,0.01,6.09999999999999,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__rh__mavg__04,11,ok,
ssr,Solar radiation,mavg,4,ssr_mavg4,0.00250454388535785,0.00105737738888217,1.00250768287543,1.00043122464789,1.0045884509332,128557,29147,144785.098818346,144783.871918238,3,0.01,6.08,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__ssr__mavg__04,12,ok,
uv,Wind speed,mavg,4,uv_mavg4,-0.0352481675422115,0.00740836363793778,0.965365814066641,0.951443252599994,0.979492105613614,128557,29147,144768.246572364,144767.024758208,3,0.01,6.58,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__uv__mavg__04,13,ok,
sp,Surface pressure,mavg,4,sp_mavg4,-0.000608113660675651,0.00207439381315146,0.999392071202962,0.995335120334732,1.00346555811187,128557,29147,144790.802725765,144789.596109716,3,0.01,6.27,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__sp__mavg__04,14,ok,
tp,Total precipitation,mavg,4,tp_mavg4,-0.000963131353085863,0.0010174861167164,0.999037332309048,0.997046050798995,1.00103259076419,128557,29147,144789.930671919,144788.733445015,3,0.01,6.12000000000001,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__tp__mavg__04,15,ok,
PM25,PM2.5,mavg,4,PM25_mavg4,0.000292836639699049,0.000201352236194199,1.00029287952053,0.999898010076554,1.00068790490512,128557,29147,144788.643221071,144787.426240566,3,0.01,6.11,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__PM25__mavg__04,16,ok,
PM10,PM10,mavg,4,PM10_mavg4,0.000320637608646556,0.000144615765545557,1.00032068901838,1.00003706112295,1.00060439735839,128557,29147,144785.822463705,144784.603758396,3,0.01,6.10000000000001,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__PM10__mavg__04,17,ok,
O3,O3,mavg,4,O3_mavg4,0.000298486711551588,0.000166699223672892,1.00029853126314,0.999971606470053,1.00062556294,128557,29147,144787.518721897,144786.303026873,3,0.01,6.19,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__O3__mavg__04,18,ok,
t2m,Temperature,lag,3,t2m_lag3,-0.000170385170494512,0.000999918319650181,0.999829629344234,0.997871143405819,1.0017919591299,63647,14422,71669.709861415,71668.4917610368,3,0.01,3.10999999999999,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__t2m__lag__03,19,ok,
rh,Relative humidity,lag,3,rh_lag3,-0.000727713223491929,0.000692021296797398,0.999272551495559,0.99791747317539,1.00062946999662,63647,14422,71668.7688398437,71667.5378158711,3,0.01,3.13,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__rh__lag__03,20,ok,
ssr,Solar radiation,lag,3,ssr_lag3,0.00162354867649175,0.00113008091230215,1.00162486734519,0.999407747541752,1.00384690569557,63647,14422,71667.6043611534,71666.3829211292,3,0.01,3.09999999999999,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__ssr__lag__03,21,ok,
uv,Wind speed,lag,3,uv_lag3,-0.023235736554814,0.00740351235129939,0.97703213443415,0.962950481007647,0.991319710003543,63647,14422,71659.9423719925,71658.7304870536,3,0.01,3.13,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__uv__lag__03,22,ok,
sp,Surface pressure,lag,3,sp_lag3,-6.98793698690196e-06,0.00283087939530717,0.999993012087429,0.994457355863391,1.00555948278903,63647,14422,71669.5769973398,71668.3807214897,3,0.01,3.26000000000002,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__sp__lag__03,23,ok,
tp,Total precipitation,lag,3,tp_lag3,-0.000960973213351465,0.000902323074130604,0.999039488373537,0.997273384711211,1.00080871968147,63647,14422,71668.6323579957,71667.4468159414,3,0.01,3.09,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__tp__lag__03,24,ok,
PM25,PM2.5,lag,3,PM25_lag3,-7.70687906125123e-05,0.000261602697938484,0.999922934179111,0.999410128305718,1.00043600317704,63647,14422,71669.6593595616,71668.4358878725,3,0.01,3.09,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__PM25__lag__03,25,ok,
PM10,PM10,lag,3,PM10_lag3,-2.264591246621e-05,0.000185418406379769,0.999977354343951,0.999613841560202,1.00034099932088,63647,14422,71669.7225673092,71668.4976872169,3,0.01,3.11000000000001,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__PM10__lag__03,26,ok,
O3,O3,lag,3,O3_lag3,8.2600357447168e-05,0.000206421135427733,1.00008260376895,0.999677880873848,1.00048749051653,63647,14422,71669.5470914666,71668.332492036,3,0.01,3.11000000000001,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__O3__lag__03,27,ok,
t2m,Temperature,mavg,4,t2m_mavg4,0.000294876996524003,0.00102595205040546,1.00029492047702,0.998284559832705,1.0023093296297,63647,14422,71669.6341544738,71668.4162548904,3,0.01,3.15000000000001,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__t2m__mavg__04,28,ok,
rh,Relative humidity,mavg,4,rh_mavg4,-0.000220662401496416,0.000877950676098067,0.999779361942661,0.99805964838548,1.00150203880556,63647,14422,71669.7068958811,71668.4872697645,3,0.01,3.09,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__rh__mavg__04,29,ok,
ssr,Solar radiation,mavg,4,ssr_mavg4,0.0012637598162622,0.00149055121364218,1.00126455869719,0.998342312210779,1.00419535891509,63647,14422,71668.962713432,71667.7403672047,3,0.01,3.11000000000001,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__ssr__mavg__04,30,ok,
uv,Wind speed,mavg,4,uv_mavg4,-0.0244651357577092,0.0104375357521035,0.975831709958516,0.956062388246615,0.996009818552129,63647,14422,71664.3515441851,71663.1312531714,3,0.01,3.12,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__uv__mavg__04,31,ok,
sp,Surface pressure,mavg,4,sp_mavg4,-0.000621687726562706,0.00283822623008689,0.999378505481212,0.993831933310831,1.00495603322519,63647,14422,71669.6994479443,71668.500622364,3,0.01,3.13,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__sp__mavg__04,32,ok,
tp,Total precipitation,mavg,4,tp_mavg4,-0.000843346960020174,0.00144902119310848,0.999157008557079,0.996322046482453,1.00200003729635,63647,14422,71669.4145950624,71668.2119446883,3,0.01,3.07999999999998,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__tp__mavg__04,33,ok,
PM25,PM2.5,mavg,4,PM25_mavg4,0.000123519931187553,0.000291573487697825,1.00012352756009,0.9995518736791,1.00069550837963,63647,14422,71669.5291602769,71668.311528899,3,0.01,3.10999999999999,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__PM25__mavg__04,34,ok,
PM10,PM10,mavg,4,PM10_mavg4,0.000109901176600617,0.000208580723466521,1.00010990721596,0.999700939793173,1.00051904194695,63647,14422,71669.4234701545,71668.207224498,3,0.01,3.5,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__PM10__mavg__04,35,ok,
O3,O3,mavg,4,O3_mavg4,8.96479392139576e-05,0.000240691732885792,1.00008965195771,0.999617748398722,1.00056177829541,63647,14422,71669.5668279813,71668.3547571104,3,0.01,3.22,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__O3__mavg__04,36,ok,
t2m,Temperature,lag,3,t2m_lag3,0.000320562818660744,0.0010099386195436,1.00032061420441,0.99834155009141,1.00230360150877,64910,14725,73130.2826305355,73129.0555087985,3,0.01,3.47,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__t2m__lag__03,37,ok,
rh,Relative humidity,lag,3,rh_lag3,-0.00188946082951918,0.000679850999450543,0.998112323077876,0.996782605778948,0.999443814336386,64910,14725,73123.0596370577,73121.8407207505,3,0.01,3.25999999999999,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__rh__lag__03,38,ok,
ssr,Solar radiation,lag,3,ssr_lag3,0.00206580072474672,0.00113388692786872,1.00206793596114,0.999842373342477,1.00429845249908,64910,14725,73127.0007931311,73125.7791047333,3,0.01,3.25,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__ssr__lag__03,39,ok,
uv,Wind speed,lag,3,uv_lag3,-0.0237282353129748,0.00727597632126107,0.976551065793836,0.96271707735657,0.990583844855385,64910,14725,73119.8195147094,73118.6142479344,3,0.01,3.26000000000002,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__uv__lag__03,40,ok,
sp,Surface pressure,lag,3,sp_lag3,-0.000520076970450657,0.00290187756632544,0.999480058246135,0.993808873510036,1.00518360588432,64910,14725,73130.3460441269,73129.152201409,3,0.01,3.34999999999999,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__sp__lag__03,41,ok,
tp,Total precipitation,lag,3,tp_lag3,0.000229669108457813,0.00087339830051292,1.00022969548443,0.998518120729425,1.00194420407324,64910,14725,73130.3174240013,73129.1401382804,3,0.01,3.25999999999999,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__tp__lag__03,42,ok,
PM25,PM2.5,lag,3,PM25_lag3,0.000184620697936558,0.000249249767033264,1.00018463774139,0.999695912871908,1.00067360154322,64910,14725,73129.8151311526,73128.5919945034,3,0.01,3.25,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__PM25__lag__03,43,ok,
PM10,PM10,lag,3,PM10_lag3,0.000312034933392941,0.000178544267101806,1.00031208362136,0.999961928061903,1.00066236180314,64910,14725,73127.2726258258,73126.0429693896,3,0.01,3.25,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__PM10__lag__03,44,ok,
O3,O3,lag,3,O3_lag3,0.000370501718145569,0.000199616430320904,1.00037057036238,0.999979073914981,1.00076222008381,64910,14725,73126.8562066512,73125.6387040189,3,0.01,3.30000000000001,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__O3__lag__03,45,ok,
t2m,Temperature,mavg,4,t2m_mavg4,0.00110740491632875,0.00103608584038043,1.00110801831556,0.999076170339131,1.00314399853389,64910,14725,73129.2027014097,73127.977134962,3,0.01,3.28,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__t2m__mavg__04,46,ok,
rh,Relative humidity,mavg,4,rh_mavg4,-0.00180431815828079,0.000859535333620488,0.998197308645157,0.996516300568582,0.999881152509318,64910,14725,73126.3531928257,73125.1358388544,3,0.01,3.28,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__rh__mavg__04,47,ok,
ssr,Solar radiation,mavg,4,ssr_mavg4,0.00368131866510711,0.00150078276434278,1.00368810304126,1.00073870523821,1.00664619342025,64910,14725,73124.243667631,73123.0152239097,3,0.01,3.23999999999998,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__ssr__mavg__04,48,ok,
uv,Wind speed,mavg,4,uv_mavg4,-0.0467237484623431,0.010521192968087,0.954351002109915,0.934863485918395,0.974244740989923,64910,14725,73110.802611713,73109.5822864398,3,0.01,3.30000000000001,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__uv__mavg__04,49,ok,
sp,Surface pressure,mavg,4,sp_mavg4,-0.00180714509166482,0.00290426669834754,0.998194486811849,0.992525946713134,1.00389540138582,64910,14725,73130.3259007275,73129.1262448084,3,0.01,3.30000000000001,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__sp__mavg__04,50,ok,
tp,Total precipitation,mavg,4,tp_mavg4,-0.00110118598340749,0.0014289769393235,0.998899420099387,0.996104339796165,1.00170234340721,64910,14725,73129.8327513089,73128.6439271227,3,0.01,3.40000000000001,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__tp__mavg__04,51,ok,
PM25,PM2.5,mavg,4,PM25_mavg4,0.000443862804456475,0.000278334181063818,1.00044396132613,0.99989808228188,1.00099013840225,64910,14725,73127.7892335042,73126.57547256,3,0.01,3.25,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__PM25__mavg__04,52,ok,
PM10,PM10,mavg,4,PM10_mavg4,0.000513543172639573,0.000200639982535204,1.00051367505851,1.0001201152873,1.00090738971785,64910,14725,73123.7550915083,73122.5365496165,3,0.01,3.25999999999999,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__PM10__mavg__04,53,ok,
O3,O3,mavg,4,O3_mavg4,0.00047932639726493,0.000231107623027245,1.00047944129252,1.00002614761353,1.00093294044737,64910,14725,73125.9717895005,73124.755957388,3,0.01,3.29999999999998,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__O3__mavg__04,54,ok,
t2m,Temperature,lag,3,t2m_lag3,0.000236103283565482,0.000911294036903467,1.00023613115814,0.998450348005767,1.00202510827833,78297,17735,88138.511022435,88137.2886531784,3,0.01,3.75999999999999,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__t2m__lag__03,55,ok,
rh,Relative humidity,lag,3,rh_lag3,-0.00126940270487119,0.000622147899376571,0.998731402645935,0.997513722922125,0.999950568881475,78297,17735,88134.6814731466,88133.4554752497,3,0.01,3.75,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__rh__lag__03,56,ok,
ssr,Solar radiation,lag,3,ssr_lag3,0.0018399374120861,0.00102413123381275,1.00184163113555,0.999831731794458,1.00385557085987,78297,17735,88135.2912084578,88134.0653800509,3,0.01,3.76999999999998,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__ssr__lag__03,57,ok,
uv,Wind speed,lag,3,uv_lag3,-0.02759142238967,0.00667095418107357,0.972785744090671,0.960143523556991,0.985594424785892,78297,17735,88121.4845081047,88120.2712233694,3,0.01,3.78000000000003,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__uv__lag__03,58,ok,
sp,Surface pressure,lag,3,sp_lag3,-9.6093473551492e-05,0.00262269057279285,0.999903911143278,0.994774769748399,1.00505949896342,78297,17735,88138.4809070274,88137.2840665922,3,0.01,3.73000000000002,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__sp__lag__03,59,ok,
tp,Total precipitation,lag,3,tp_lag3,-2.72383520515543e-05,0.000809328206598489,0.999972762018909,0.998387051501845,1.00156099107429,78297,17735,88138.5899779748,88137.4134128344,3,0.01,3.75,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__tp__lag__03,60,ok,
PM25,PM2.5,lag,3,PM25_lag3,0.000104128744839272,0.000229157762243891,1.00010413416643,0.999654832685711,1.00055363759233,78297,17735,88138.3625622541,88137.1408443261,3,0.01,3.75,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__PM25__lag__03,61,ok,
PM10,PM10,lag,3,PM10_lag3,0.00018939547727543,0.000163698131741725,1.00018941341373,0.999868408336835,1.00051052155266,78297,17735,88137.1992770926,88135.9721877165,3,0.01,3.77999999999997,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__PM10__lag__03,62,ok,
O3,O3,lag,3,O3_lag3,0.00018381899013048,0.000184916499138192,1.00018383588588,0.999821232055263,1.00054657122116,78297,17735,88137.5500750988,88136.3334203053,3,0.01,3.69999999999999,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__O3__lag__03,63,ok,
t2m,Temperature,mavg,4,t2m_mavg4,0.000738893951567223,0.000935621143200723,1.00073916700095,0.998904833816908,1.00257686866095,78297,17735,88137.9302279001,88136.7072286237,3,0.01,3.81,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__t2m__mavg__04,64,ok,
rh,Relative humidity,mavg,4,rh_mavg4,-0.000840349195835397,0.000789049652567586,0.999160003798664,0.997615250777752,1.00070714887448,78297,17735,88137.6208895019,88136.404996351,3,0.01,3.76999999999998,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__rh__mavg__04,65,ok,
ssr,Solar radiation,mavg,4,ssr_mavg4,0.00213099832562414,0.00135732263518416,1.00213327051628,0.999469563993043,1.00480407615891,78297,17735,88136.0420424081,88134.8140974172,3,0.01,3.72999999999996,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__ssr__mavg__04,66,ok,
uv,Wind speed,mavg,4,uv_mavg4,-0.0417682853217896,0.00953596271794516,0.959091990518795,0.941324490848875,0.977194851391878,78297,17735,88119.5171766846,88118.2911821301,3,0.01,3.74000000000001,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__uv__mavg__04,67,ok,
sp,Surface pressure,mavg,4,sp_mavg4,-0.000895216057281938,0.00262845970067226,0.999105184529067,0.993968895777375,1.00426801494545,78297,17735,88138.5847453311,88137.3843662841,3,0.01,3.79000000000002,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__sp__mavg__04,68,ok,
tp,Total precipitation,mavg,4,tp_mavg4,-0.0010140906506001,0.00131305941150767,0.998986423365556,0.996417562357201,1.00156190713288,78297,17735,88138.018197765,88136.8260401162,3,0.01,3.78000000000003,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__tp__mavg__04,69,ok,
PM25,PM2.5,mavg,4,PM25_mavg4,0.000313303349730272,0.0002566742173491,1.00031335243435,0.999810008720165,1.00081694956016,78297,17735,88137.0476116776,88135.8330320129,3,0.01,3.77999999999997,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__PM25__mavg__04,70,ok,
PM10,PM10,mavg,4,PM10_mavg4,0.000336399736842512,0.000184612282465234,1.00033645632558,0.999974393691873,1.00069865006024,78297,17735,88135.1913404173,88133.9747932999,3,0.01,3.73000000000002,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__PM10__mavg__04,71,ok,
O3,O3,mavg,4,O3_mavg4,0.000261911818962646,0.000214493687873392,1.00026194612086,0.999841323560828,1.00068274563395,78297,17735,88137.0268920482,88135.8106930394,3,0.01,3.79000000000002,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__O3__mavg__04,72,ok,
t2m,Temperature,lag,3,t2m_lag3,-0.000144955603186176,0.0011343702321795,0.99985505490237,0.997633461542076,1.00208159543434,50260,11412,56662.8311017652,56661.6088951366,3,0.01,2.52999999999997,Sex__Female,Sex,Female,3,2,Single lag 3,g03_s02__t2m__lag__03,73,ok,
rh,Relative humidity,lag,3,rh_lag3,-0.00140999803980764,0.000774077783935088,0.998590995540392,0.997076394368312,1.00010789763509,50260,11412,56659.8019739049,56658.5798865094,3,0.01,2.5,Sex__Female,Sex,Female,3,2,Single lag 3,g03_s02__rh__lag__03,74,ok,
ssr,Solar radiation,lag,3,ssr_lag3,0.00188597611384577,0.00128259504546025,1.00188775568536,0.999371132261229,1.00441071650684,50260,11412,56660.6059828961,56659.3918965816,3,0.01,2.5,Sex__Female,Sex,Female,3,2,Single lag 3,g03_s02__ssr__lag__03,75,ok,
uv,Wind speed,lag,3,uv_lag3,-0.0169823547467391,0.00825425307851347,0.983161032607271,0.967375904399118,0.999203734028199,50260,11412,56658.6865800883,56657.4853932028,3,0.01,2.50999999999999,Sex__Female,Sex,Female,3,2,Single lag 3,g03_s02__uv__lag__03,76,ok,
sp,Surface pressure,lag,3,sp_lag3,-0.000413534770817287,0.00318596285000624,0.999586550722901,0.993361242753339,1.0058508724421,50260,11412,56662.7413775969,56661.5491877087,3,0.01,2.61000000000001,Sex__Female,Sex,Female,3,2,Single lag 3,g03_s02__sp__lag__03,77,ok,
tp,Total precipitation,lag,3,tp_lag3,-0.000844575638564307,0.000996067506060101,0.999155780915054,0.997206144862433,1.00110922869105,50260,11412,56662.1601830529,56660.9767554616,3,0.01,2.54999999999995,Sex__Female,Sex,Female,3,2,Single lag 3,g03_s02__tp__lag__03,78,ok,
PM25,PM2.5,lag,3,PM25_lag3,-1.20571481045135e-05,0.000293210518774135,0.999987942924583,0.999413158363722,1.00056305805903,50260,11412,56662.8414692167,56661.6168199481,3,0.01,2.5,Sex__Female,Sex,Female,3,2,Single lag 3,g03_s02__PM25__lag__03,79,ok,
PM10,PM10,lag,3,PM10_lag3,8.81706158484726e-05,0.00020814301826073,1.00008817450299,0.999680073989016,1.00049644162074,50260,11412,56662.6359684682,56661.4093472166,3,0.01,2.53000000000003,Sex__Female,Sex,Female,3,2,Single lag 3,g03_s02__PM10__lag__03,80,ok,
O3,O3,lag,3,O3_lag3,0.00030735816531012,0.000227508509306795,1.00030740540467,0.99986124617021,1.00075376372737,50260,11412,56660.9311885847,56659.7165337787,3,0.01,2.59999999999997,Sex__Female,Sex,Female,3,2,Single lag 3,g03_s02__O3__lag__03,81,ok,
t2m,Temperature,mavg,4,t2m_mavg4,0.000666282072459912,0.00116261860059534,1.00066650408767,0.998387803302171,1.00295040577053,50260,11412,56662.4798949106,56661.260790365,3,0.01,2.48000000000002,Sex__Female,Sex,Female,3,2,Moving average 4,g03_s02__t2m__mavg__04,82,ok,
rh,Relative humidity,mavg,4,rh_mavg4,-0.0013380648086058,0.000977967030150671,0.998662830000961,0.996749533184583,1.00057979967261,50260,11412,56661.2309195479,56660.0089893438,3,0.01,2.46999999999997,Sex__Female,Sex,Female,3,2,Moving average 4,g03_s02__rh__mavg__04,83,ok,
ssr,Solar radiation,mavg,4,ssr_mavg4,0.0030265334177201,0.00168637713997844,1.00303111799394,0.999719754410045,1.00635344986372,50260,11412,56659.5029877241,56658.2824183884,3,0.01,2.51000000000005,Sex__Female,Sex,Female,3,2,Moving average 4,g03_s02__ssr__mavg__04,84,ok,
uv,Wind speed,mavg,4,uv_mavg4,-0.0256509710362226,0.0117635037228904,0.974675220129696,0.95244964884436,0.997419428242521,50260,11412,56658.208934489,56656.9978551251,3,0.01,2.5,Sex__Female,Sex,Female,3,2,Moving average 4,g03_s02__uv__mavg__04,85,ok,
sp,Surface pressure,mavg,4,sp_mavg4,-0.0015589191582679,0.00318947024892874,0.998442295325027,0.992217289456152,1.00470635607231,50260,11412,56662.8215241252,56661.6243908956,3,0.01,2.53000000000003,Sex__Female,Sex,Female,3,2,Moving average 4,g03_s02__sp__mavg__04,86,ok,
tp,Total precipitation,mavg,4,tp_mavg4,-0.000924444664274914,0.00160983721631323,0.999075982503053,0.995927140877932,1.00223477985313,50260,11412,56662.5360520651,56661.3359121101,3,0.01,2.48000000000002,Sex__Female,Sex,Female,3,2,Moving average 4,g03_s02__tp__mavg__04,87,ok,
PM25,PM2.5,mavg,4,PM25_mavg4,0.000253807268448,0.000325007018009092,1.00025383948024,0.999616574271899,1.0008915109655,50260,11412,56662.1867924704,56660.970662942,3,0.01,2.52999999999997,Sex__Female,Sex,Female,3,2,Moving average 4,g03_s02__PM25__mavg__04,88,ok,
PM10,PM10,mavg,4,PM10_mavg4,0.000290839182501122,0.000232875812518396,1.00029088148032,0.999834206561949,1.0007477649999,50260,11412,56661.2085339435,56659.9910660344,3,0.01,2.48000000000002,Sex__Female,Sex,Female,3,2,Moving average 4,g03_s02__PM10__mavg__04,89,ok,
O3,O3,mavg,4,O3_mavg4,0.000344249615223843,0.000264916399471767,1.00034430887592,0.999824790184063,1.0008640975232,50260,11412,56661.0579314417,56659.847765022,3,0.01,2.5,Sex__Female,Sex,Female,3,2,Moving average 4,g03_s02__O3__mavg__04,90,ok,
t2m,Temperature,lag,3,t2m_lag3,-0.000591162550580627,0.00245982392965457,0.999409012151573,0.994599998592312,1.00424127666656,10008,2262,11261.0032699698,11259.796869005,3,0.01,0.71999999999997,Period__2005-2010,Period,2005-2010,4,1,Single lag 3,g04_s01__t2m__lag__03,91,ok,
rh,Relative humidity,lag,3,rh_lag3,-0.00254586759143276,0.00173201457170308,0.997457370381064,0.994075445312249,1.00085080488997,10008,2262,11259.329974535,11258.1057857976,3,0.01,0.75,Period__2005-2010,Period,2005-2010,4,1,Single lag 3,g04_s01__rh__lag__03,92,ok,
ssr,Solar radiation,lag,3,ssr_lag3,0.000317989001522366,0.00285855459527667,1.00031803956538,0.994726600314219,1.00594090871621,10008,2262,11261.0081751536,11259.8028043477,3,0.01,0.759999999999991,Period__2005-2010,Period,2005-2010,4,1,Single lag 3,g04_s01__ssr__lag__03,93,ok,
