variable,exposure,exposure_type,max_lag,lag_df,exposure_knots,exposure_minimum,exposure_maximum,basis_columns,n_rows,n_strata,compute_config,compute_cpo,model_size_mb,elapsed_seconds,DIC,effective_parameters_DIC,WAIC,effective_parameters_WAIC,CPO_valid,LPML,sensitivity_key,sensitivity_label,sensitivity_order,exposure_knot_probabilities,slice_window,model_key,specification_order,status,error_message
t2m,Temperature,lag,10,4,10.05755;17.8358;23.86228,-11.9883344,36.17892354,16,128557,29147,FALSE,FALSE,151.493270874023,13.09,144751.839845238,19.9417637142178,144747.36267304,15.4608049616814,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,3,lag_df4__t2m__lag,19,ok,
rh,Relative humidity,lag,10,4,66.95335;75.82061;84.06996,15.91384697,99.46646507,16,128557,29147,FALSE,FALSE,151.493515014648,13.25,144786.062012485,19.9220750000095,144781.46111338,15.3170582563205,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,3,lag_df4__rh__lag,20,ok,
ssr,Solar radiation,lag,10,4,6.851668;12.95199;18.72321,0.431284,30.307264,16,128557,29147,FALSE,FALSE,151.489822387695,12.86,144775.800646958,20.3315203353122,144771.166227998,15.6940419419997,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,3,lag_df4__ssr__lag,21,ok,
uv,Wind speed,lag,10,4,0.9209974;1.602409;2.475799,0.000244909,8.897020119,16,128557,29147,FALSE,FALSE,151.48966217041,13.17,144773.305898519,20.1957022515999,144768.735026027,15.6203251066597,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,3,lag_df4__uv__lag,22,ok,
sp,Surface pressure,lag,10,4,99.30592;100.3137;101.3741,83.56582096,104.2058729,16,128557,29147,FALSE,FALSE,151.495994567871,12.8,144767.66467926,18.2323855811846,144763.454690356,14.0188163459538,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,3,lag_df4__sp__lag,23,ok,
tp,Total precipitation,lag,10,4,0.001938433;0.3645997;4.325309,-3.44e-05,318.968156,16,128557,29147,FALSE,FALSE,151.495811462402,13.03,144798.266614317,17.967856401985,144794.246432924,13.9315271128927,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,3,lag_df4__tp__lag,24,ok,
PM25,PM2.5,lag,10,4,27.2;42;64.2,2.10000003129244,404.300006024539,16,128557,29147,FALSE,FALSE,151.489151000977,12.9,144791.884595128,19.9068044201413,144787.256778971,15.270794301069,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,3,lag_df4__PM25__lag,25,ok,
PM10,PM10,lag,10,4,45.3;68.6;102.2,4.60000006854534,626.400009334087,16,128557,29147,FALSE,FALSE,151.490425109863,13,144787.108455559,19.7029553033935,144782.542934703,15.1243065751108,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,3,lag_df4__PM10__lag,26,ok,
O3,O3,lag,10,4,58.4;85.1;115,3.1000000461936,332.300004951656,16,128557,29147,FALSE,FALSE,151.489524841309,13.13,144803.917958943,20.1065978765837,144799.350961948,15.5348771905014,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,3,lag_df4__O3__lag,27,ok,
t2m,Temperature,mavg,10,4,9.990846;17.91871;23.81945,-9.7928257625,35.68524831,16,128557,29147,FALSE,FALSE,151.494033813477,15.98,144752.373593235,19.0100375742186,144748.064761009,14.6979232138693,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,4,lag_df4__t2m__mavg,28,ok,
rh,Relative humidity,mavg,10,4,69.02786;76.1666;81.64631,18.40329253,99.41670218,16,128557,29147,FALSE,FALSE,151.497032165527,15.03,144788.500914863,19.2237794204848,144784.092995544,14.8117835292901,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,4,lag_df4__rh__mavg,29,ok,
ssr,Solar radiation,mavg,10,4,8.798943;12.7877;17.08335,0.445012,29.91132,16,128557,29147,FALSE,FALSE,151.490646362305,15.74,144796.722848965,20.1636706349382,144792.136514466,15.5740997411695,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,4,lag_df4__ssr__mavg,30,ok,
uv,Wind speed,mavg,10,4,1.232003;1.76445;2.30113,0.000244909,8.5528143585,16,128557,29147,FALSE,FALSE,151.496505737305,15.27,144771.996018095,19.2904759617522,144767.644299822,14.9332575592727,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,4,lag_df4__uv__mavg,31,ok,
sp,Surface pressure,mavg,10,4,99.33494;100.3125;101.3838,83.56582096,104.0929507,16,128557,29147,FALSE,FALSE,151.492637634277,16.11,144761.269131155,16.848368858482,144757.373619421,12.9498456206227,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,4,lag_df4__sp__mavg,32,ok,
tp,Total precipitation,mavg,10,4,0.3935922;2.313951;5.929666,-3.44e-05,224.7228056,16,128557,29147,FALSE,FALSE,151.495445251465,15.95,144803.368187504,17.4911395492964,144799.450603255,13.5611836739015,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,4,lag_df4__tp__mavg,33,ok,
PM25,PM2.5,mavg,10,4,29.17273;43.1;64.36,2.30000003427267,324.200004830956,16,128557,29147,FALSE,FALSE,151.494117736816,16.58,144784.146093047,19.0493732203904,144779.715606347,14.6119097291693,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,4,lag_df4__PM25__mavg,34,ok,
PM10,PM10,mavg,10,4,48.1;70.76667;101.3,5.80000008642673,624.400009304285,16,128557,29147,FALSE,FALSE,151.491813659668,14.46,144778.031639659,18.2760476320691,144773.790814672,14.0249090468347,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,4,lag_df4__PM10__mavg,35,ok,
O3,O3,mavg,10,4,61.41;87.775;111.675,3.50000005215406,298.800004452467,16,128557,29147,FALSE,FALSE,151.497657775879,15.84,144797.099299536,19.4438087594754,144792.558270544,14.8982861624246,0,,lag_df4,Lag spline df = 4,2,0.25;0.5;0.75,4,lag_df4__O3__mavg,36,ok,
t2m,Temperature,lag,10,3,12.66232;21.84017,-11.9883344,36.17892354,9,128557,29147,FALSE,FALSE,134.291091918945,11.62,144749.535621191,13.2744751241407,144746.540957989,10.2781079588524,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,3,knots_p33_p66__t2m__lag,37,ok,
rh,Relative humidity,lag,10,3,70.0618;81.04878,15.91384697,99.46646507,9,128557,29147,FALSE,FALSE,134.290214538574,11.96,144789.514409181,13.2293128698657,144786.518381451,10.2312693907558,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,3,knots_p33_p66__rh__lag,38,ok,
ssr,Solar radiation,lag,10,3,9.143475;16.09252,0.431284,30.307264,9,128557,29147,FALSE,FALSE,134.287635803223,11.12,144768.535824345,13.35784221426,144765.519643302,10.3402147776013,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,3,knots_p33_p66__ssr__lag,39,ok,
uv,Wind speed,lag,10,3,1.132241;2.114841,0.000244909,8.897020119,9,128557,29147,FALSE,FALSE,134.28653717041,10.98,144766.913555463,13.307055232377,144763.909309958,10.3008299928489,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,3,knots_p33_p66__uv__lag,40,ok,
sp,Surface pressure,lag,10,3,99.68363;100.9974,83.56582096,104.2058729,9,128557,29147,FALSE,FALSE,134.29426574707,10.36,144771.237853972,12.304757164995,144768.436182578,9.50128153837293,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,3,knots_p33_p66__sp__lag,41,ok,
tp,Total precipitation,lag,10,3,0.01295209;2.078578,-3.44e-05,318.968156,9,128557,29147,FALSE,FALSE,134.29280090332,11.0500000000001,144793.2450129,11.8550132105302,144790.603741547,9.20217149124755,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,3,knots_p33_p66__tp__lag,42,ok,
PM25,PM2.5,lag,10,3,31.6;54.6,2.10000003129244,404.300006024539,9,128557,29147,FALSE,FALSE,134.285469055176,10.72,144783.327459942,13.2036700999888,144780.266869438,10.1389414536513,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,3,knots_p33_p66__PM25__lag,43,ok,
PM10,PM10,lag,10,3,52.4;87.8,4.60000006854534,626.400009334087,9,128557,29147,FALSE,FALSE,134.287246704102,11.0600000000001,144780.331831336,13.1064905225066,144777.354589301,10.1234913522086,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,3,knots_p33_p66__PM10__lag,44,ok,
O3,O3,lag,10,3,67.5;102.8,3.1000000461936,332.300004951656,9,128557,29147,FALSE,FALSE,134.289329528809,11.0300000000001,144799.241744963,13.2944575531292,144796.195609431,10.2461627844974,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,3,knots_p33_p66__O3__lag,45,ok,
t2m,Temperature,mavg,10,3,12.61273;21.83764,-9.7928257625,35.68524831,9,128557,29147,FALSE,FALSE,134.289970397949,11.0600000000001,144745.643698072,13.0903737683839,144742.65790967,10.1029755756531,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,4,knots_p33_p66__t2m__mavg,46,ok,
rh,Relative humidity,mavg,10,3,71.72721;79.64108,18.40329253,99.41670218,9,128557,29147,FALSE,FALSE,134.290473937988,11.53,144785.650966972,13.0657906300039,144782.675310847,10.0880506191694,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,4,knots_p33_p66__rh__mavg,47,ok,
ssr,Solar radiation,mavg,10,3,10.16344;15.36299,0.445012,29.91132,9,128557,29147,FALSE,FALSE,134.287155151367,11.36,144786.226575721,13.3351267015969,144783.192069806,10.2991046721388,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,4,knots_p33_p66__ssr__mavg,48,ok,
uv,Wind speed,mavg,10,3,1.420513;2.086879,0.000244909,8.5528143585,9,128557,29147,FALSE,FALSE,134.288932800293,11.6099999999999,144766.227743315,13.095041368244,144763.310485789,10.1750689718743,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,4,knots_p33_p66__uv__mavg,49,ok,
sp,Surface pressure,mavg,10,3,99.69996;100.999,83.56582096,104.0929507,9,128557,29147,FALSE,FALSE,134.29434967041,11.14,144754.512450738,11.6995540448697,144751.806564536,8.99212809401815,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,4,knots_p33_p66__sp__mavg,50,ok,
tp,Total precipitation,mavg,10,3,0.8835748;4.293005,-3.44e-05,224.7228056,9,128557,29147,FALSE,FALSE,134.287124633789,11.63,144794.920495938,11.6611378017988,144792.321475849,9.05351173104262,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,4,knots_p33_p66__tp__mavg,51,ok,
PM25,PM2.5,mavg,10,3,33.48889;55.25,2.30000003427267,324.200004830956,9,128557,29147,FALSE,FALSE,134.287071228027,11.14,144784.932621922,13.0541432982427,144781.911644192,10.0291710131248,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,4,knots_p33_p66__PM25__mavg,52,ok,
PM10,PM10,mavg,10,3,54.94;88.14286,5.80000008642673,624.400009304285,9,128557,29147,FALSE,FALSE,134.289283752441,11.75,144777.250488633,12.5653564749227,144774.351930034,9.66103318607151,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,4,knots_p33_p66__PM10__mavg,53,ok,
O3,O3,mavg,10,3,70.66667;102.5147,3.50000005215406,298.800004452467,9,128557,29147,FALSE,FALSE,134.289794921875,11.0599999999999,144799.723871344,13.1831510102493,144796.670033834,10.1270994677293,0,,knots_p33_p66,Exposure knots = P33/P66,3,0.33;0.66,4,knots_p33_p66__O3__mavg,54,ok,
