exposure_type,window,window_label,variable_1,exposure_1,term_1,variable_2,exposure_2,term_2,spearman_rho,absolute_rho,n_complete,correlation_cutoff,decision
mavg,4,Moving average 4,ssr,Solar radiation,ssr_mavg4,PM10,PM10,PM10_mavg4,-0.0855096758444483,0.0855096758444483,128557,0.7,included
mavg,4,Moving average 4,ssr,Solar radiation,ssr_mavg4,O3,O3,O3_mavg4,0.818929375486106,0.818929375486106,128557,0.7,excluded_high_correlation
mavg,4,Moving average 4,uv,Wind speed,uv_mavg4,sp,Surface pressure,sp_mavg4,0.492557323118449,0.492557323118449,128557,0.7,included
mavg,4,Moving average 4,uv,Wind speed,uv_mavg4,tp,Total precipitation,tp_mavg4,0.0232593161127417,0.0232593161127417,128557,0.7,included
mavg,4,Moving average 4,uv,Wind speed,uv_mavg4,PM25,PM2.5,PM25_mavg4,0.0246773100792182,0.0246773100792182,128557,0.7,included
mavg,4,Moving average 4,uv,Wind speed,uv_mavg4,PM10,PM10,PM10_mavg4,0.0311352923043899,0.0311352923043899,128557,0.7,included
mavg,4,Moving average 4,uv,Wind speed,uv_mavg4,O3,O3,O3_mavg4,-0.0366566978047527,0.0366566978047527,128557,0.7,included
mavg,4,Moving average 4,sp,Surface pressure,sp_mavg4,tp,Total precipitation,tp_mavg4,-0.277321338414381,0.277321338414381,128557,0.7,included
mavg,4,Moving average 4,sp,Surface pressure,sp_mavg4,PM25,PM2.5,PM25_mavg4,0.489169027298241,0.489169027298241,128557,0.7,included
mavg,4,Moving average 4,sp,Surface pressure,sp_mavg4,PM10,PM10,PM10_mavg4,0.438944495579167,0.438944495579167,128557,0.7,included
mavg,4,Moving average 4,sp,Surface pressure,sp_mavg4,O3,O3,O3_mavg4,-0.296486972459842,0.296486972459842,128557,0.7,included
mavg,4,Moving average 4,tp,Total precipitation,tp_mavg4,PM25,PM2.5,PM25_mavg4,-0.389049360754242,0.389049360754242,128557,0.7,included
mavg,4,Moving average 4,tp,Total precipitation,tp_mavg4,PM10,PM10,PM10_mavg4,-0.408361609613312,0.408361609613312,128557,0.7,included
mavg,4,Moving average 4,tp,Total precipitation,tp_mavg4,O3,O3,O3_mavg4,-0.0855609519357113,0.0855609519357113,128557,0.7,included
mavg,4,Moving average 4,PM25,PM2.5,PM25_mavg4,PM10,PM10,PM10_mavg4,0.952062643347386,0.952062643347386,128557,0.7,excluded_high_correlation
mavg,4,Moving average 4,PM25,PM2.5,PM25_mavg4,O3,O3,O3_mavg4,-0.343357616164086,0.343357616164086,128557,0.7,included
mavg,4,Moving average 4,PM10,PM10,PM10_mavg4,O3,O3,O3_mavg4,-0.218381641421813,0.218381641421813,128557,0.7,included
