variable,exposure,exposure_type,window,term,coefficient,coefficient_sd,RR,lower_95_CrI,upper_95_CrI,n_rows,n_strata,DIC,WAIC,pc_prior_U,pc_prior_alpha,elapsed_seconds,model_key,specification_order,status,error_message
uv,Wind speed,lag,9,uv_lag9,-0.00431375793406309,0.0051608863792334,0.995695532955343,0.985669922835912,1.0058231172369,128557,29147,144790.131211709,144788.916161875,3,0.01,6.16000000000003,uv__lag__09,73,ok,
uv,Wind speed,lag,10,uv_lag10,0.00698161766417758,0.00513256428788502,1.0070060459734,0.996921915182141,1.01719218045789,128557,29147,144788.914335247,144787.70243475,3,0.01,6.61000000000001,uv__lag__10,74,ok,
uv,Wind speed,mavg,1,uv_mavg1,-0.0264681615459451,0.00596853598082403,0.973879050145329,0.962547494891327,0.98534400566446,128557,29147,144771.149450623,144769.938600137,3,0.01,6.31000000000006,uv__mavg__01,75,ok,
uv,Wind speed,mavg,2,uv_mavg2,-0.0298368982039048,0.00654705555847152,0.970603827866735,0.958222738025244,0.983144892328261,128557,29147,144770.069138241,144768.853160661,3,0.01,6.18000000000006,uv__mavg__02,76,ok,
uv,Wind speed,mavg,3,uv_mavg3,-0.0365019027670064,0.00702642009591496,0.964156259329859,0.950963102545823,0.977532450858852,128557,29147,144763.845478222,144762.62753586,3,0.01,6.31000000000006,uv__mavg__03,77,ok,
uv,Wind speed,mavg,4,uv_mavg4,-0.0352481675422707,0.00740836363889359,0.965365814066584,0.951443252598154,0.979492105615392,128557,29147,144768.246572556,144767.024758379,3,0.01,6.20000000000005,uv__mavg__04,78,ok,
uv,Wind speed,mavg,5,uv_mavg5,-0.0349907446495019,0.00772378538596015,0.965614353315494,0.951099759991597,0.980350451581872,128557,29147,144770.387961697,144769.162297601,3,0.01,6.25,uv__mavg__05,79,ok,
uv,Wind speed,mavg,6,uv_mavg6,-0.0323308304388628,0.00799478759850824,0.968186223616694,0.953126337321189,0.983484063726715,128557,29147,144774.574850286,144773.349059543,3,0.01,6.12000000000001,uv__mavg__06,80,ok,
uv,Wind speed,mavg,7,uv_mavg7,-0.027878204926772,0.00822971358252876,0.972506806126104,0.956938783041721,0.988328098511413,128557,29147,144779.453602209,144778.230461527,3,0.01,6.34000000000003,uv__mavg__07,81,ok,
uv,Wind speed,mavg,8,uv_mavg8,-0.0271145010604979,0.00844495757032641,0.973249797010314,0.957265759562367,0.989500729328887,128557,29147,144780.622727569,144779.400175961,3,0.01,6.27999999999997,uv__mavg__08,82,ok,
uv,Wind speed,mavg,9,uv_mavg9,-0.026680515266924,0.00862638172831754,0.973672265261794,0.957340650359496,0.9902824868539,128557,29147,144781.367202621,144780.145883362,3,0.01,6.41999999999996,uv__mavg__09,83,ok,
uv,Wind speed,mavg,10,uv_mavg10,-0.0233148181403557,0.00878498855430447,0.976954872238882,0.960269495440092,0.993930169398094,128557,29147,144783.876998906,144782.657388366,3,0.01,6.36000000000001,uv__mavg__10,84,ok,
sp,Surface pressure,lag,0,sp,-0.0021741191583241,0.00205325820526074,0.997828242526895,0.993818827685764,1.00185383279389,128557,29147,144790.174581758,144788.959651912,3,0.01,6.27999999999997,sp__lag__00,85,ok,
sp,Surface pressure,lag,1,sp_lag1,-0.00129353657043825,0.00205920574936575,0.998707299687376,0.99468275207635,1.00274813091155,128557,29147,144790.677608445,144789.467852121,3,0.01,6.19999999999993,sp__lag__01,86,ok,
sp,Surface pressure,lag,2,sp_lag2,-0.000161218814597276,0.00206656230318514,0.999838794180457,0.995795322005593,1.00389868511487,128557,29147,144790.75991822,144789.555403137,3,0.01,6.13,sp__lag__02,87,ok,
sp,Surface pressure,lag,3,sp_lag3,0.0003686862345808,0.00207081895208031,1.0003687542077,0.996314822669152,1.0044391809553,128557,29147,144790.582666767,144789.380544663,3,0.01,6.34000000000003,sp__lag__03,88,ok,
sp,Surface pressure,lag,4,sp_lag4,0.000267987482652114,0.00207110484416951,1.00026802339451,0.996213941576598,1.00433860331302,128557,29147,144790.626766604,144789.42440231,3,0.01,6.22000000000003,sp__lag__04,89,ok,
sp,Surface pressure,lag,5,sp_lag5,0.000336610336228495,0.00207253129412799,1.00033666699584,0.996279520241845,1.00441033571825,128557,29147,144790.597138337,144789.395265917,3,0.01,6.15000000000009,sp__lag__05,90,ok,
sp,Surface pressure,lag,6,sp_lag6,0.000665121829825988,0.0020749962974525,1.0006653430724,0.99660204606737,1.00474520681502,128557,29147,144790.424083812,144789.224780265,3,0.01,6.16999999999996,sp__lag__06,91,ok,
sp,Surface pressure,lag,7,sp_lag7,0.000437214154300011,0.00207404573175545,1.00043730974634,0.996376795901235,1.00451437138027,128557,29147,144790.549623281,144789.349191015,3,0.01,6.33999999999992,sp__lag__07,92,ok,
sp,Surface pressure,lag,8,sp_lag8,-0.000247825195265921,0.00206993045076199,0.999752205510861,0.995702507268405,1.00381837464726,128557,29147,144790.775548188,144789.571404483,3,0.01,6.23000000000002,sp__lag__08,93,ok,
sp,Surface pressure,lag,9,sp_lag9,-0.00020522165276436,0.00207045940397694,0.999794799403759,0.99574389581539,1.00386218300731,128557,29147,144790.768130408,144789.564105853,3,0.01,6.24000000000001,sp__lag__09,94,ok,
sp,Surface pressure,lag,10,sp_lag10,0.000130933663063688,0.00207327133850661,1.00013094223525,0.996073184397854,1.0042052304384,128557,29147,144790.678714402,144789.47634063,3,0.01,6.14999999999998,sp__lag__10,95,ok,
sp,Surface pressure,mavg,1,sp_mavg1,-0.00173941806658855,0.00205910729849572,0.998262093844275,0.994239532242314,1.00230093023905,128557,29147,144790.473000003,144789.260660722,3,0.01,6.19000000000006,sp__mavg__01,96,ok,
sp,Surface pressure,mavg,2,sp_mavg2,-0.00121879130649397,0.00206543597887853,0.99878195111798,0.994744949943822,1.0028353358129,128557,29147,144790.703953662,144789.494289906,3,0.01,6.17000000000007,sp__mavg__02,97,ok,
sp,Surface pressure,mavg,3,sp_mavg3,-0.00082513557374812,0.00207065882621516,0.999175204756997,0.995126422458033,1.00324046002617,128557,29147,144790.788759253,144789.58103918,3,0.01,6.22000000000003,sp__mavg__03,98,ok,
sp,Surface pressure,mavg,4,sp_mavg4,-0.000608113660675651,0.00207439381315146,0.999392071202962,0.995335120334732,1.00346555811187,128557,29147,144790.802725765,144789.596109716,3,0.01,6.38,sp__mavg__04,99,ok,
sp,Surface pressure,mavg,5,sp_mavg5,-0.000451461243759818,0.00207742018508529,0.999548640649533,0.995485146561303,1.00362872166256,128557,29147,144790.798375226,144789.592612701,3,0.01,6.19000000000006,sp__mavg__05,100,ok,
sp,Surface pressure,mavg,6,sp_mavg6,-0.000291999228817738,0.00208015770792007,0.999708043398808,0.995638556673819,1.00379416344581,128557,29147,144790.781628669,144789.576860502,3,0.01,6.22000000000003,sp__mavg__06,101,ok,
sp,Surface pressure,mavg,7,sp_mavg7,-0.000200710446148336,0.00208223323097199,0.999799309694846,0.995725398948899,1.00388988849421,128557,29147,144790.766438527,144789.562288501,3,0.01,6.30999999999995,sp__mavg__07,102,ok,
sp,Surface pressure,mavg,8,sp_mavg8,-0.000206474770403565,0.00208344008156297,0.999793546544045,0.99571730289934,1.00388647747298,128557,29147,144790.767413451,144789.563294178,3,0.01,6.13999999999999,sp__mavg__08,103,ok,
sp,Surface pressure,mavg,9,sp_mavg9,-0.000206784601963937,0.00208450753024867,0.999793236776498,0.99571491020095,1.00388826773491,128557,29147,144790.767388432,144789.563270061,3,0.01,6.15999999999997,sp__mavg__09,104,ok,
sp,Surface pressure,mavg,10,sp_mavg10,-0.000176092739921701,0.00208569346733241,0.999823922763495,0.995743155406254,1.00392141402957,128557,29147,144790.761419412,144789.55745766,3,0.01,6.11000000000001,sp__mavg__10,105,ok,
tp,Total precipitation,lag,0,tp,-0.000337145554012091,0.000601657974873714,0.999662911273164,0.998484212794372,1.00084300118978,128557,29147,144790.507052096,144789.299709455,3,0.01,6.25999999999999,tp__lag__00,106,ok,
tp,Total precipitation,lag,1,tp_lag1,0.000228767570766591,0.000618708894445538,1.00022879374006,0.999016025210493,1.00144303452485,128557,29147,144790.655972438,144789.448918392,3,0.01,6.13999999999999,tp__lag__01,107,ok,
tp,Total precipitation,lag,2,tp_lag2,-0.00110805097605495,0.00064420732435847,0.998892562685751,0.997631531607834,1.00015518773632,128557,29147,144787.860339482,144786.658222614,3,0.01,6.17999999999995,tp__lag__02,108,ok,
tp,Total precipitation,lag,3,tp_lag3,-0.000344711142291127,0.000627934172048164,0.999655348263768,0.998425213501656,1.00088699864336,128557,29147,144790.519805719,144789.338481657,3,0.01,6.13999999999999,tp__lag__03,109,ok,
tp,Total precipitation,lag,4,tp_lag4,-0.000311479892619168,0.000626826525181841,0.999688568612206,0.998460561610281,1.0009180859398,128557,29147,144790.572595374,144789.382162663,3,0.01,6.25999999999999,tp__lag__04,110,ok,
tp,Total precipitation,lag,5,tp_lag5,-0.000293115409967557,0.000616825909484403,0.999706927544157,0.99849847856887,1.00091683906413,128557,29147,144790.595281885,144789.405620186,3,0.01,6.25,tp__lag__05,111,ok,
tp,Total precipitation,lag,6,tp_lag6,0.000358321817511027,0.000617459430546574,1.00035838602244,0.999147908347742,1.00157033020251,128557,29147,144790.448737161,144789.234258679,3,0.01,6.08000000000004,tp__lag__06,112,ok,
tp,Total precipitation,lag,7,tp_lag7,0.000433438782232567,0.000618702897349007,1.00043353273039,0.99922052770752,1.00164801028201,128557,29147,144790.293665868,144789.094097852,3,0.01,6.24000000000001,tp__lag__07,113,ok,
tp,Total precipitation,lag,8,tp_lag8,0.00111956761683257,0.000634399953718284,1.00112019456661,0.999875579965869,1.00236635842574,128557,29147,144787.678304211,144786.45891285,3,0.01,6.11000000000001,tp__lag__08,114,ok,
tp,Total precipitation,lag,9,tp_lag9,0.000961684879440481,0.000639048662864568,1.00096214744661,0.999708616290626,1.00221725040124,128557,29147,144788.518972928,144787.299077649,3,0.01,6.31000000000006,tp__lag__09,115,ok,
tp,Total precipitation,lag,10,tp_lag10,-0.00128544394019968,0.000666661370091301,0.998715381888972,0.997410657375331,1.000021813127,128557,29147,144787.089885286,144785.897745472,3,0.01,6.23000000000002,tp__lag__10,116,ok,
tp,Total precipitation,mavg,1,tp_mavg1,-9.00879955269906e-05,0.00073883657605502,0.999909916062275,0.99846231021118,1.00135962070143,128557,29147,144790.792911153,144789.587025414,3,0.01,6.13,tp__mavg__01,117,ok,
tp,Total precipitation,mavg,2,tp_mavg2,-0.000740709514263653,0.000858012540384043,0.999259564743309,0.997579746534366,1.00094221158393,128557,29147,144790.080185597,144788.880169731,3,0.01,6.18999999999994,tp__mavg__02,118,ok,
tp,Total precipitation,mavg,3,tp_mavg3,-0.000869827592872529,0.000947502595306166,0.999130550597487,0.997275930813638,1.00098861938702,128557,29147,144789.983310832,144788.787021056,3,0.01,6.16999999999996,tp__mavg__03,119,ok,
tp,Total precipitation,mavg,4,tp_mavg4,-0.000963131353102908,0.00101748611723705,0.999037332309031,0.99704605079796,1.0010325907652,128557,29147,144789.930672217,144788.733445279,3,0.01,6.28000000000009,tp__mavg__04,120,ok,
tp,Total precipitation,mavg,5,tp_mavg5,-0.00104251326969575,0.00107608477097213,0.998958029958472,0.99685235546686,1.00106815231049,128557,29147,144789.888859598,144788.693338324,3,0.01,6.20000000000005,tp__mavg__05,121,ok,
