variable,exposure,exposure_type,window,term,coefficient,coefficient_sd,RR,lower_95_CrI,upper_95_CrI,n_rows,n_strata,DIC,WAIC,pc_prior_U,pc_prior_alpha,elapsed_seconds,group_key,group_type,subgroup,group_order,subgroup_order,window_label,model_key,specification_order,status,error_message,exposure_IQR,RR_per_IQR,lower_95_CrI_per_IQR,upper_95_CrI_per_IQR,interval_excludes_one
ssr,Solar radiation,lag,3,ssr_lag3,0.00206580072474672,0.00113388692786872,1.00206793596114,0.999842373342477,1.00429845249908,64910,14725,73127.0007931311,73125.7791047333,3,0.01,3.25,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__ssr__lag__03,39,ok,,11.695088,1.0244539319033,0.998158095456832,1.05144251545371,FALSE
t2m,Temperature,lag,3,t2m_lag3,0.000320562818660744,0.0010099386195436,1.00032061420441,0.99834155009141,1.00230360150877,64910,14725,73130.2826305355,73129.0555087985,3,0.01,3.47,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__t2m__lag__03,37,ok,,13.895268598,1.00446424163683,0.977200197731741,1.03248895664509,FALSE
tp,Total precipitation,lag,3,tp_lag3,0.000229669108457813,0.00087339830051292,1.00022969548443,0.998518120729425,1.00194420407324,64910,14725,73130.3174240013,73129.1401382804,3,0.01,3.25999999999999,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__tp__lag__03,42,ok,,4.27088839825,1.00098137236179,0.993686380202074,1.00832991954999,FALSE
uv,Wind speed,lag,3,uv_lag3,-0.0237282353129748,0.00727597632126107,0.976551065793836,0.96271707735657,0.990583844855385,64910,14725,73119.8195147094,73118.6142479344,3,0.01,3.26000000000002,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__uv__lag__03,40,ok,,1.558707475,0.963690226564586,0.942495450427977,0.985361629270006,TRUE
O3,O3,mavg,4,O3_mavg4,0.00047932639726493,0.000231107623027245,1.00047944129252,1.00002614761353,1.00093294044737,64910,14725,73125.9717895005,73124.755957388,3,0.01,3.29999999999998,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__O3__mavg__04,54,ok,,51.4400007665158,1.02496303676015,1.00134592061488,1.04913717170532,TRUE
PM10,PM10,mavg,4,PM10_mavg4,0.000513543172639573,0.000200639982535204,1.00051367505851,1.0001201152873,1.00090738971785,64910,14725,73123.7550915083,73122.5365496165,3,0.01,3.25999999999999,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__PM10__mavg__04,53,ok,,53.5950007986277,1.02790561308017,1.00645795557485,1.04981032196706,TRUE
PM25,PM2.5,mavg,4,PM25_mavg4,0.000443862804456475,0.000278334181063818,1.00044396132613,0.99989808228188,1.00099013840225,64910,14725,73127.7892335042,73126.57547256,3,0.01,3.25,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__PM25__mavg__04,52,ok,,35.2000005245209,1.01574666333172,0.996418741499039,1.03544949702057,FALSE
rh,Relative humidity,mavg,4,rh_mavg4,-0.00180431815828079,0.000859535333620488,0.998197308645157,0.996516300568582,0.999881152509318,64910,14725,73126.3531928257,73125.1358388544,3,0.01,3.28,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__rh__mavg__04,47,ok,,12.819526071,0.977134955753761,0.956248610663603,0.998477501130542,TRUE
sp,Surface pressure,mavg,4,sp_mavg4,-0.00180714509166482,0.00290426669834754,0.998194486811849,0.992525946713134,1.00389540138582,64910,14725,73130.3259007275,73129.1262448084,3,0.01,3.30000000000001,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__sp__mavg__04,50,ok,,2.02992275550001,0.99633835528669,0.984886638570804,1.00792322655446,FALSE
ssr,Solar radiation,mavg,4,ssr_mavg4,0.00368131866510711,0.00150078276434278,1.00368810304126,1.00073870523821,1.00664619342025,64910,14725,73124.243667631,73123.0152239097,3,0.01,3.23999999999998,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__ssr__mavg__04,48,ok,,8.08708896845,1.03021874302827,1.00598963612876,1.05503140469246,TRUE
t2m,Temperature,mavg,4,t2m_mavg4,0.00110740491632875,0.00103608584038043,1.00110801831556,0.999076170339131,1.00314399853389,64910,14725,73129.2027014097,73127.977134962,3,0.01,3.28,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__t2m__mavg__04,46,ok,,13.69269030815,1.01527889948301,0.987424184706293,1.04391938131287,FALSE
tp,Total precipitation,mavg,4,tp_mavg4,-0.00110118598340749,0.0014289769393235,0.998899420099387,0.996104339796165,1.00170234340721,64910,14725,73129.8327513089,73128.6439271227,3,0.01,3.40000000000001,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__tp__mavg__04,51,ok,,5.5643914859,0.993891304504054,0.978514854354727,1.00950938112593,FALSE
uv,Wind speed,mavg,4,uv_mavg4,-0.0467237484623431,0.010521192968087,0.954351002109915,0.934863485918395,0.974244740989923,64910,14725,73110.802611713,73109.5822864398,3,0.01,3.30000000000001,Age__Age >=6,Age,Age >=6,2,2,Moving average 4,g02_s02__uv__mavg__04,49,ok,,1.04248789035,0.952458310004088,0.932191953719766,0.973165267225191,TRUE
O3,O3,lag,3,O3_lag3,0.00018381899013048,0.000184916499138192,1.00018383588588,0.999821232055263,1.00054657122116,78297,17735,88137.5500750988,88136.3334203053,3,0.01,3.69999999999999,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__O3__lag__03,63,ok,,56.4000008404258,1.0104213187997,0.98996725361629,1.03129799266975,FALSE
PM10,PM10,lag,3,PM10_lag3,0.00018939547727543,0.000163698131741725,1.00018941341373,0.999868408336835,1.00051052155266,78297,17735,88137.1992770926,88135.9721877165,3,0.01,3.77999999999997,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__PM10__lag__03,62,ok,,57.6000008583068,1.01096890172936,0.992448478433596,1.0298349412806,FALSE
PM25,PM2.5,lag,3,PM25_lag3,0.000104128744839272,0.000229157762243891,1.00010413416643,0.999654832685711,1.00055363759233,78297,17735,88138.3625622541,88137.1408443261,3,0.01,3.75,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__PM25__lag__03,61,ok,,37.6000005602837,1.00392291543247,0.987103352188535,1.0210290726242,FALSE
rh,Relative humidity,lag,3,rh_lag3,-0.00126940270487119,0.000622147899376571,0.998731402645935,0.997513722922125,0.999950568881475,78297,17735,88134.6814731466,88133.4554752497,3,0.01,3.75,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__rh__lag__03,56,ok,,17.24649149,0.978345163843078,0.957975619974027,0.999147828868211,TRUE
sp,Surface pressure,lag,3,sp_lag3,-9.6093473551492e-05,0.00262269057279285,0.999903911143278,0.994774769748399,1.00505949896342,78297,17735,88138.4809070274,88137.2840665922,3,0.01,3.73000000000002,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__sp__lag__03,59,ok,,2.08190139,0.999799962873938,0.989152330322132,1.01056221112002,FALSE
ssr,Solar radiation,lag,3,ssr_lag3,0.0018399374120861,0.00102413123381275,1.00184163113555,0.999831731794458,1.00385557085987,78297,17735,88135.2912084578,88134.0653800509,3,0.01,3.76999999999998,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__ssr__lag__03,57,ok,,11.982714,1.02229228473725,0.997985552287043,1.0471910271027,FALSE
t2m,Temperature,lag,3,t2m_lag3,0.000236103283565482,0.000911294036903467,1.00023613115814,0.998450348005767,1.00202510827833,78297,17735,88138.511022435,88137.2886531784,3,0.01,3.75999999999999,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__t2m__lag__03,55,ok,,13.961723323,1.00330184785091,0.978580140892117,1.02864809512545,FALSE
tp,Total precipitation,lag,3,tp_lag3,-2.72383520515543e-05,0.000809328206598489,0.999972762018909,0.998387051501845,1.00156099107429,78297,17735,88138.5899779748,88137.4134128344,3,0.01,3.75,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__tp__lag__03,60,ok,,4.39192763,0.999880378284277,0.99293540018833,1.00687393226224,FALSE
uv,Wind speed,lag,3,uv_lag3,-0.02759142238967,0.00667095418107357,0.972785744090671,0.960143523556991,0.985594424785892,78297,17735,88121.4845081047,88120.2712233694,3,0.01,3.78000000000003,Sex__Male,Sex,Male,3,1,Single lag 3,g03_s01__uv__lag__03,58,ok,,1.549897347,0.958137606128143,0.938907603982909,0.9777614626203,TRUE
O3,O3,mavg,4,O3_mavg4,0.000261911818962646,0.000214493687873392,1.00026194612086,0.999841323560828,1.00068274563395,78297,17735,88137.0268920482,88135.8106930394,3,0.01,3.79000000000002,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__O3__mavg__04,72,ok,,50.2600007489324,1.01325071098859,0.992056010843811,1.03489822367038,FALSE
PM10,PM10,mavg,4,PM10_mavg4,0.000336399736842512,0.000184612282465234,1.00033645632558,0.999974393691873,1.00069865006024,78297,17735,88135.1913404173,88133.9747932999,3,0.01,3.73000000000002,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__PM10__mavg__04,71,ok,,53.9800008043646,1.01832473263823,0.99861870863184,1.03841962162391,FALSE
PM25,PM2.5,mavg,4,PM25_mavg4,0.000313303349730272,0.0002566742173491,1.00031335243435,0.999810008720165,1.00081694956016,78297,17735,88137.0476116776,88135.8330320129,3,0.01,3.77999999999997,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__PM25__mavg__04,70,ok,,35.4200005277991,1.01115900718978,0.993292466022382,1.02934691755592,FALSE
rh,Relative humidity,mavg,4,rh_mavg4,-0.000840349195835397,0.000789049652567586,0.999160003798664,0.997615250777752,1.00070714887448,78297,17735,88137.6208895019,88136.404996351,3,0.01,3.76999999999998,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__rh__mavg__04,65,ok,,12.820940868,0.989283765032337,0.969852536413631,1.00910430413333,FALSE
sp,Surface pressure,mavg,4,sp_mavg4,-0.000895216057281938,0.00262845970067226,0.999105184529067,0.993968895777375,1.00426801494545,78297,17735,88138.5847453311,88137.3843662841,3,0.01,3.79000000000002,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__sp__mavg__04,68,ok,,2.05803657,0.998159308769882,0.987627364354259,1.00880356489138,FALSE
ssr,Solar radiation,mavg,4,ssr_mavg4,0.00213099832562414,0.00135732263518416,1.00213327051628,0.999469563993043,1.00480407615891,78297,17735,88136.0420424081,88134.8140974172,3,0.01,3.72999999999996,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__ssr__mavg__04,66,ok,,8.1876448,1.01760096036644,0.995665248405266,1.04001994282441,FALSE
t2m,Temperature,mavg,4,t2m_mavg4,0.000738893951567223,0.000935621143200723,1.00073916700095,0.998904833816908,1.00257686866095,78297,17735,88137.9302279001,88136.7072286237,3,0.01,3.81,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__t2m__mavg__04,64,ok,,13.7665967322,1.01022396627643,0.985028235260239,1.03606417118746,FALSE
tp,Total precipitation,mavg,4,tp_mavg4,-0.0010140906506001,0.00131305941150767,0.998986423365556,0.996417562357201,1.00156190713288,78297,17735,88138.018197765,88136.8260401162,3,0.01,3.78000000000003,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__tp__mavg__04,69,ok,,5.6421600314,0.994294675795355,0.979954655261283,1.00884453880752,FALSE
uv,Wind speed,mavg,4,uv_mavg4,-0.0417682853217896,0.00953596271794516,0.959091990518795,0.941324490848875,0.977194851391878,78297,17735,88119.5171766846,88118.2911821301,3,0.01,3.74000000000001,Sex__Male,Sex,Male,3,1,Moving average 4,g03_s01__uv__mavg__04,67,ok,,1.053753198,0.956941072908913,0.938269857515416,0.97598383805919,TRUE
O3,O3,lag,3,O3_lag3,0.00030735816531012,0.000227508509306795,1.00030740540467,0.99986124617021,1.00075376372737,50260,11412,56660.9311885847,56659.7165337787,3,0.01,2.59999999999997,Sex__Female,Sex,Female,3,2,Single lag 3,g03_s02__O3__lag__03,81,ok,,56.9000008478761,1.01764250223683,0.992135447875882,1.04380532388625,FALSE
PM10,PM10,lag,3,PM10_lag3,8.81706158484726e-05,0.00020814301826073,1.00008817450299,0.999680073989016,1.00049644162074,50260,11412,56662.6359684682,56661.4093472166,3,0.01,2.53000000000003,Sex__Female,Sex,Female,3,2,Single lag 3,g03_s02__PM10__lag__03,80,ok,,55.8000008314847,1.00493204311894,0.982303723291573,1.02808162851456,FALSE
