variable,exposure_type,lag_window,exposure_value,exposure_probability,reference_value,RR,sensitivity_key,sensitivity_label,sensitivity_order,model_key,specification_order
t2m,lag,3,9.903328673,0.25,17.88594462,1.02876662825526,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,10.23937887,0.26,17.88594462,1.02777320288803,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,10.5511868361,0.27,17.88594462,1.02676776954727,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,10.88021876,0.28,17.88594462,1.025628913117,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,11.2266764486,0.29,17.88594462,1.02435387965707,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,11.53419202,0.3,17.88594462,1.02316599643589,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,11.8544984827,0.31,17.88594462,1.02188145616577,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,12.21017164,0.32,17.88594462,1.02040930634405,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,12.56848106,0.33,17.88594462,1.01888946659446,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,12.87372805,0.34,17.88594462,1.01757484345591,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,13.21257553,0.35,17.88594462,1.01610387416063,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,13.54567299,0.36,17.88594462,1.014655635282,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,13.87053833,0.37,17.88594462,1.01325045777692,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,14.198566173,0.38,17.88594462,1.0118481491702,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,14.51402372,0.39,17.88594462,1.01052383929689,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,14.828304416,0.4,17.88594462,1.00923635171773,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,15.16310209,0.41,17.88594462,1.00790887254111,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,15.5198572048,0.42,17.88594462,1.00655501887423,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,15.8389012984,0.43,17.88594462,1.00540663726917,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,16.1557625296,0.44,17.88594462,1.00433292128378,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,16.4707982685,0.45,17.88594462,1.00333944446898,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,16.76266886,0.46,17.88594462,1.0024918565468,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,17.06686172,0.47,17.88594462,1.00169003927832,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,17.36494662,0.48,17.88594462,1.00099186890188,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,17.6226832096,0.49,17.88594462,1.00046327780177,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,17.88594462,0.5,17.88594462,1,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,18.15237897,0.51,17.88594462,0.999612333437629,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,18.40800247,0.52,17.88594462,0.999310612413571,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,18.6815951,0.53,17.88594462,0.999054255272956,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,18.96726761,0.54,17.88594462,0.998849207625048,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,19.225382548,0.55,17.88594462,0.998709434009968,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,19.4855932104,0.56,17.88594462,0.998603249202133,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,19.73540967,0.57,17.88594462,0.998526000552974,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,19.9870033664,0.58,17.88594462,0.998464697352625,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,20.23067881,0.59,17.88594462,0.998413661530991,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,20.49973577,0.6,17.88594462,0.998358116426844,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,20.7588930666,0.61,17.88594462,0.998296674553259,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,21.0058711602,0.62,17.88594462,0.998222855075688,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,21.25072568,0.63,17.88594462,0.998127487316872,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,21.503590116,0.64,17.88594462,0.997998072935525,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,21.73315837,0.65,17.88594462,0.997846716136592,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,21.9529351926,0.66,17.88594462,0.997665898643631,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,22.1793693419,0.67,17.88594462,0.997437234951471,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,22.40469704,0.68,17.88594462,0.997161382833645,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,22.62841568,0.69,17.88594462,0.996834262359632,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,22.864473086,0.7,17.88594462,0.996425502002361,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,23.0931608792,0.71,17.88594462,0.995961260324732,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,23.31887609,0.72,17.88594462,0.995431447626514,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,23.53596268,0.73,17.88594462,0.994849563841654,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,23.76128731,0.74,17.88594462,0.99416524406919,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,23.97438265,0.75,17.88594462,0.993437867096608,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,24.207438452,0.76,17.88594462,0.99254892269842,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,24.43596865,0.77,17.88594462,0.99158332550239,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,24.6587886474,0.78,17.88594462,0.990554298006886,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,24.8901561572,0.79,17.88594462,0.989396390679961,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,25.129355114,0.8,17.88594462,0.988105807039043,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,25.3661775,0.81,17.88594462,0.986736767239328,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,25.59622726,0.82,17.88594462,0.985322161494785,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,25.81948115,0.83,17.88594462,0.983871598590532,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,26.0729713436,0.84,17.88594462,0.982134294009778,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,26.347233105,0.85,17.88594462,0.980149759378083,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,26.6021487452,0.86,17.88594462,0.97821065363497,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,26.8755037029,0.87,17.88594462,0.976033555977528,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,27.15593427,0.88,17.88594462,0.973698802153341,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,27.45889753,0.89,17.88594462,0.97106573327973,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,27.777439878,0.9,17.88594462,0.968178646040912,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,28.117776048,0.91,17.88594462,0.964966181572127,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,28.4697288004,0.92,17.88594462,0.961512556175418,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,28.8447297782,0.93,17.88594462,0.957694338014642,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,29.1988534004,0.94,17.88594462,0.953965892914337,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,29.5693822185,0.95,17.88594462,0.949945755395016,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,29.97185669,0.96,17.88594462,0.945451449651458,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,30.4082090544,0.97,17.88594462,0.940441603734257,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,30.968635868,0.98,17.88594462,0.93382017165371,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,31.72486394,0.99,17.88594462,0.924601015174771,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
rh,lag,3,43.5271380836,0.01,75.87233674,1.01684757909008,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,47.27021166,0.02,75.87233674,1.01012437064848,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,49.58312983,0.03,75.87233674,1.00659420001298,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,51.56737138,0.04,75.87233674,1.00397278029833,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,53.1761092175,0.05,75.87233674,1.00213705366018,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,54.5066469488,0.06,75.87233674,1.00082251125317,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,55.75677617,0.07,75.87233674,0.999761009601964,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,56.79770595,0.08,75.87233674,0.999009051149585,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,57.7128678331,0.09,75.87233674,0.998449372659797,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,58.556876555,0.1,75.87233674,0.998019100300876,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,59.3440294,0.11,75.87233674,0.997693496099315,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,60.08273453,0.12,75.87233674,0.997455534805237,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,60.77495002,0.13,75.87233674,0.997292923265326,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,61.37584464,0.14,75.87233674,0.997199828679505,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,61.9566182245,0.15,75.87233674,0.997152881308783,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,62.53669124,0.16,75.87233674,0.997148750585097,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,63.11933789,0.17,75.87233674,0.997188163040867,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,63.67504441,0.18,75.87233674,0.997266934289955,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,64.1956665065,0.19,75.87233674,0.997377647292683,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,64.67682029,0.2,75.87233674,0.997512076156395,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,65.1766638711,0.21,75.87233674,0.997684743484158,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,65.6587383306,0.22,75.87233674,0.997883480262286,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,66.12038281,0.23,75.87233674,0.99810374458768,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,66.5809223,0.24,75.87233674,0.998352972133227,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,67.01286222,0.25,75.87233674,0.998613750685478,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,67.4260521884,0.26,75.87233674,0.998886897341651,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,67.8434796878,0.27,75.87233674,0.999181340831656,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,68.25016411,0.28,75.87233674,0.999480267209032,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,68.6453087226,0.29,75.87233674,0.99977668774502,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,69.015163182,0.3,75.87233674,1.00005481228916,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,69.3805740641,0.31,75.87233674,1.00032596160941,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,69.76343375,0.32,75.87233674,1.00060166991759,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,70.1285802604,0.33,75.87233674,1.00085233460712,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,70.48965957,0.34,75.87233674,1.00108430355472,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,70.84541663,0.35,75.87233674,1.0012934874954,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,71.198147936,0.36,75.87233674,1.00147813548923,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,71.5421304231,0.37,75.87233674,1.00163281240081,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,71.89268468,0.38,75.87233674,1.00176104190993,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,72.24190641,0.39,75.87233674,1.00185566459385,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,72.568412472,0.4,75.87233674,1.00191103030021,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,72.9018726673,0.41,75.87233674,1.0019314192291,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,73.23102903,0.42,75.87233674,1.00191266821833,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,73.5801376653,0.43,75.87233674,1.00184719814009,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,73.9103057784,0.44,75.87233674,1.00173892594417,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,74.2461494615,0.45,75.87233674,1.00157937705918,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,74.597254934,0.46,75.87233674,1.00135586118728,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,74.91060816,0.47,75.87233674,1.00110451423499,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,75.22673548,0.48,75.87233674,1.00079866328004,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,75.5498284626,0.49,75.87233674,1.00042909570179,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,75.87233674,0.5,75.87233674,1,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,76.19683845,0.51,75.87233674,0.999506002415476,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,76.53099388,0.52,75.87233674,0.998935654381717,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,76.86288369,0.53,75.87233674,0.998312203771466,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,77.1996249308,0.54,75.87233674,0.997626718926253,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,77.530772065,0.55,75.87233674,0.996905633582432,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,77.86243633,0.56,75.87233674,0.996141675883864,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,78.2117497999,0.57,75.87233674,0.995297313632153,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,78.543244565,0.58,75.87233674,0.994463442471207,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,78.86330817,0.59,75.87233674,0.993632898028378,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,79.18460696,0.6,75.87233674,0.992778500821142,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,79.48528848,0.61,75.87233674,0.991964114928223,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,79.8086405416,0.62,75.87233674,0.991076578618753,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,80.1411990203,0.63,75.87233674,0.990155690469808,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,80.44591083,0.64,75.87233674,0.989308831526494,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,80.7679257705,0.65,75.87233674,0.988414935698911,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,81.0851897244,0.66,75.87233674,0.987539478091649,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,81.39561783,0.67,75.87233674,0.986691964704483,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,81.7046693824,0.68,75.87233674,0.985861032062748,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,82.0207643025,0.69,75.87233674,0.985028403686125,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,82.362290394,0.7,75.87233674,0.984153073163024,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,82.71138898,0.71,75.87233674,0.983289631779249,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,83.0576258,0.72,75.87233674,0.982469880730087,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,83.41722223,0.73,75.87233674,0.981662831708562,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,83.76183605,0.74,75.87233674,0.980937241719356,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,84.1074211,0.75,75.87233674,0.980261959723754,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,84.45124404,0.76,75.87233674,0.979646271949394,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,84.805737018,0.77,75.87233674,0.979069818797691,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,85.1494836,0.78,75.87233674,0.978566010911492,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,85.50635566,0.79,75.87233674,0.978098977667224,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,85.868200406,0.8,75.87233674,0.977682179738939,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,86.25631143,0.81,75.87233674,0.977296880232178,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,86.6159891864,0.82,75.87233674,0.976995260319107,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,86.99673408,0.83,75.87233674,0.97673239015256,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,87.38712981,0.84,75.87233674,0.976521290606365,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,87.774932709,0.85,75.87233674,0.976368319738419,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,88.196784575,0.86,75.87233674,0.976263964671939,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,88.6095425571,0.87,75.87233674,0.976222238038449,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,88.98732999,0.88,75.87233674,0.976234509066064,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,89.40174652,0.89,75.87233674,0.976301393210212,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,89.85459914,0.9,75.87233674,0.976435869732089,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,90.29445978,0.91,75.87233674,0.976625229173712,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,90.76676398,0.92,75.87233674,0.976889992904356,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,91.2695052193,0.93,75.87233674,0.977238183142233,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,91.81044139,0.94,75.87233674,0.977684899699709,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,92.40106416,0.95,75.87233674,0.978252414800875,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,93.0028233012,0.96,75.87233674,0.978909952869822,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,93.6692661561,0.97,75.87233674,0.97972362901522,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,94.4042210752,0.98,75.87233674,0.980714615373179,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
rh,lag,3,95.47119176,0.99,75.87233674,0.982303969043942,lag5,Maximum lag = 5 days,1,lag5__rh__lag,2
ssr,lag,3,1.038588,0.01,12.936736,0.95663747599759,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,1.27567424,0.02,12.936736,0.958417129745309,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,1.467652,0.03,12.936736,0.959855140677445,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,1.67606096,0.04,12.936736,0.961411702458388,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,1.883108,0.05,12.936736,0.962951996928036,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,2.0890508,0.06,12.936736,0.964476595878548,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,2.3065054,0.07,12.936736,0.966076712537676,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,2.51586252608,0.08,12.936736,0.967606252097137,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,2.7339818,0.09,12.936736,0.969186651897357,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,2.970596,0.1,12.936736,0.970883864094272,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,3.21076604,0.11,12.936736,0.972586027452749,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,3.439116,0.12,12.936736,0.974183062483874,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,3.67654557875,0.13,12.936736,0.975819284476934,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,3.9035,0.14,12.936736,0.97735804060752,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,4.158936,0.15,12.936736,0.979057778327843,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,4.401676,0.16,12.936736,0.980638952017531,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,4.63678202,0.17,12.936736,0.982136324744985,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,4.902032,0.18,12.936736,0.983782527812196,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,5.1743792,0.19,12.936736,0.9854218302305,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,5.448796,0.2,12.936736,0.987017768244159,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
ssr,lag,3,5.718852,0.21,12.936736,0.988530068132366,lag5,Maximum lag = 5 days,1,lag5__ssr__lag,3
