"variable","storage","data_type","unit","source_group","role","required_for","description","privacy"
"ssr_lag2","input","numeric","MJ/m2","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Solar radiation 2 day(s) before the case or referent day.","Restricted at row level"
"ssr_lag3","input","numeric","MJ/m2","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Solar radiation 3 day(s) before the case or referent day.","Restricted at row level"
"ssr_lag4","input","numeric","MJ/m2","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Solar radiation 4 day(s) before the case or referent day.","Restricted at row level"
"ssr_lag5","input","numeric","MJ/m2","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Solar radiation 5 day(s) before the case or referent day.","Restricted at row level"
"ssr_lag6","input","numeric","MJ/m2","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Solar radiation 6 day(s) before the case or referent day.","Restricted at row level"
"ssr_lag7","input","numeric","MJ/m2","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Solar radiation 7 day(s) before the case or referent day.","Restricted at row level"
"ssr_lag8","input","numeric","MJ/m2","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Solar radiation 8 day(s) before the case or referent day.","Restricted at row level"
"ssr_lag9","input","numeric","MJ/m2","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Solar radiation 9 day(s) before the case or referent day.","Restricted at row level"
"ssr_lag10","input","numeric","MJ/m2","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Solar radiation 10 day(s) before the case or referent day.","Restricted at row level"
"ssr_mavg1","derived","numeric","MJ/m2","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Solar radiation mean from lag 0 through lag 1, recomputed by the public workflow.","Restricted at row level"
"ssr_mavg2","derived","numeric","MJ/m2","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Solar radiation mean from lag 0 through lag 2, recomputed by the public workflow.","Restricted at row level"
"ssr_mavg3","derived","numeric","MJ/m2","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Solar radiation mean from lag 0 through lag 3, recomputed by the public workflow.","Restricted at row level"
"ssr_mavg4","derived","numeric","MJ/m2","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Solar radiation mean from lag 0 through lag 4, recomputed by the public workflow.","Restricted at row level"
"ssr_mavg5","derived","numeric","MJ/m2","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Solar radiation mean from lag 0 through lag 5, recomputed by the public workflow.","Restricted at row level"
"ssr_mavg6","derived","numeric","MJ/m2","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Solar radiation mean from lag 0 through lag 6, recomputed by the public workflow.","Restricted at row level"
"ssr_mavg7","derived","numeric","MJ/m2","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Solar radiation mean from lag 0 through lag 7, recomputed by the public workflow.","Restricted at row level"
"ssr_mavg8","derived","numeric","MJ/m2","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Solar radiation mean from lag 0 through lag 8, recomputed by the public workflow.","Restricted at row level"
"ssr_mavg9","derived","numeric","MJ/m2","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Solar radiation mean from lag 0 through lag 9, recomputed by the public workflow.","Restricted at row level"
"ssr_mavg10","derived","numeric","MJ/m2","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Solar radiation mean from lag 0 through lag 10, recomputed by the public workflow.","Restricted at row level"
"uv","input","numeric","m/s","ERA5-Land-derived meteorology","current-day exposure","Environmental model modules","Wind speed on the case or referent day (lag 0).","Restricted at row level"
"uv_lag1","input","numeric","m/s","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Wind speed 1 day(s) before the case or referent day.","Restricted at row level"
"uv_lag2","input","numeric","m/s","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Wind speed 2 day(s) before the case or referent day.","Restricted at row level"
"uv_lag3","input","numeric","m/s","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Wind speed 3 day(s) before the case or referent day.","Restricted at row level"
"uv_lag4","input","numeric","m/s","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Wind speed 4 day(s) before the case or referent day.","Restricted at row level"
"uv_lag5","input","numeric","m/s","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Wind speed 5 day(s) before the case or referent day.","Restricted at row level"
"uv_lag6","input","numeric","m/s","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Wind speed 6 day(s) before the case or referent day.","Restricted at row level"
"uv_lag7","input","numeric","m/s","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Wind speed 7 day(s) before the case or referent day.","Restricted at row level"
"uv_lag8","input","numeric","m/s","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Wind speed 8 day(s) before the case or referent day.","Restricted at row level"
"uv_lag9","input","numeric","m/s","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Wind speed 9 day(s) before the case or referent day.","Restricted at row level"
"uv_lag10","input","numeric","m/s","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Wind speed 10 day(s) before the case or referent day.","Restricted at row level"
"uv_mavg1","derived","numeric","m/s","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Wind speed mean from lag 0 through lag 1, recomputed by the public workflow.","Restricted at row level"
"uv_mavg2","derived","numeric","m/s","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Wind speed mean from lag 0 through lag 2, recomputed by the public workflow.","Restricted at row level"
"uv_mavg3","derived","numeric","m/s","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Wind speed mean from lag 0 through lag 3, recomputed by the public workflow.","Restricted at row level"
"uv_mavg4","derived","numeric","m/s","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Wind speed mean from lag 0 through lag 4, recomputed by the public workflow.","Restricted at row level"
"uv_mavg5","derived","numeric","m/s","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Wind speed mean from lag 0 through lag 5, recomputed by the public workflow.","Restricted at row level"
"uv_mavg6","derived","numeric","m/s","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Wind speed mean from lag 0 through lag 6, recomputed by the public workflow.","Restricted at row level"
"uv_mavg7","derived","numeric","m/s","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Wind speed mean from lag 0 through lag 7, recomputed by the public workflow.","Restricted at row level"
"uv_mavg8","derived","numeric","m/s","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Wind speed mean from lag 0 through lag 8, recomputed by the public workflow.","Restricted at row level"
"uv_mavg9","derived","numeric","m/s","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Wind speed mean from lag 0 through lag 9, recomputed by the public workflow.","Restricted at row level"
"uv_mavg10","derived","numeric","m/s","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Wind speed mean from lag 0 through lag 10, recomputed by the public workflow.","Restricted at row level"
"sp","input","numeric","kPa","ERA5-Land-derived meteorology","current-day exposure","Environmental model modules","Surface pressure on the case or referent day (lag 0).","Restricted at row level"
"sp_lag1","input","numeric","kPa","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Surface pressure 1 day(s) before the case or referent day.","Restricted at row level"
"sp_lag2","input","numeric","kPa","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Surface pressure 2 day(s) before the case or referent day.","Restricted at row level"
"sp_lag3","input","numeric","kPa","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Surface pressure 3 day(s) before the case or referent day.","Restricted at row level"
"sp_lag4","input","numeric","kPa","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Surface pressure 4 day(s) before the case or referent day.","Restricted at row level"
"sp_lag5","input","numeric","kPa","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Surface pressure 5 day(s) before the case or referent day.","Restricted at row level"
"sp_lag6","input","numeric","kPa","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Surface pressure 6 day(s) before the case or referent day.","Restricted at row level"
"sp_lag7","input","numeric","kPa","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Surface pressure 7 day(s) before the case or referent day.","Restricted at row level"
"sp_lag8","input","numeric","kPa","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Surface pressure 8 day(s) before the case or referent day.","Restricted at row level"
"sp_lag9","input","numeric","kPa","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Surface pressure 9 day(s) before the case or referent day.","Restricted at row level"
"sp_lag10","input","numeric","kPa","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Surface pressure 10 day(s) before the case or referent day.","Restricted at row level"
"sp_mavg1","derived","numeric","kPa","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Surface pressure mean from lag 0 through lag 1, recomputed by the public workflow.","Restricted at row level"
"sp_mavg2","derived","numeric","kPa","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Surface pressure mean from lag 0 through lag 2, recomputed by the public workflow.","Restricted at row level"
"sp_mavg3","derived","numeric","kPa","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Surface pressure mean from lag 0 through lag 3, recomputed by the public workflow.","Restricted at row level"
"sp_mavg4","derived","numeric","kPa","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Surface pressure mean from lag 0 through lag 4, recomputed by the public workflow.","Restricted at row level"
"sp_mavg5","derived","numeric","kPa","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Surface pressure mean from lag 0 through lag 5, recomputed by the public workflow.","Restricted at row level"
"sp_mavg6","derived","numeric","kPa","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Surface pressure mean from lag 0 through lag 6, recomputed by the public workflow.","Restricted at row level"
"sp_mavg7","derived","numeric","kPa","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Surface pressure mean from lag 0 through lag 7, recomputed by the public workflow.","Restricted at row level"
"sp_mavg8","derived","numeric","kPa","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Surface pressure mean from lag 0 through lag 8, recomputed by the public workflow.","Restricted at row level"
"sp_mavg9","derived","numeric","kPa","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Surface pressure mean from lag 0 through lag 9, recomputed by the public workflow.","Restricted at row level"
"sp_mavg10","derived","numeric","kPa","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Surface pressure mean from lag 0 through lag 10, recomputed by the public workflow.","Restricted at row level"
"tp","input","numeric","mm","ERA5-Land-derived meteorology","current-day exposure","Environmental model modules","Total precipitation on the case or referent day (lag 0).","Restricted at row level"
"tp_lag1","input","numeric","mm","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Total precipitation 1 day(s) before the case or referent day.","Restricted at row level"
"tp_lag2","input","numeric","mm","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Total precipitation 2 day(s) before the case or referent day.","Restricted at row level"
"tp_lag3","input","numeric","mm","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Total precipitation 3 day(s) before the case or referent day.","Restricted at row level"
"tp_lag4","input","numeric","mm","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Total precipitation 4 day(s) before the case or referent day.","Restricted at row level"
"tp_lag5","input","numeric","mm","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Total precipitation 5 day(s) before the case or referent day.","Restricted at row level"
"tp_lag6","input","numeric","mm","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Total precipitation 6 day(s) before the case or referent day.","Restricted at row level"
"tp_lag7","input","numeric","mm","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Total precipitation 7 day(s) before the case or referent day.","Restricted at row level"
"tp_lag8","input","numeric","mm","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Total precipitation 8 day(s) before the case or referent day.","Restricted at row level"
"tp_lag9","input","numeric","mm","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Total precipitation 9 day(s) before the case or referent day.","Restricted at row level"
"tp_lag10","input","numeric","mm","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Total precipitation 10 day(s) before the case or referent day.","Restricted at row level"
"tp_mavg1","derived","numeric","mm","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Total precipitation mean from lag 0 through lag 1, recomputed by the public workflow.","Restricted at row level"
"tp_mavg2","derived","numeric","mm","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Total precipitation mean from lag 0 through lag 2, recomputed by the public workflow.","Restricted at row level"
"tp_mavg3","derived","numeric","mm","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Total precipitation mean from lag 0 through lag 3, recomputed by the public workflow.","Restricted at row level"
"tp_mavg4","derived","numeric","mm","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Total precipitation mean from lag 0 through lag 4, recomputed by the public workflow.","Restricted at row level"
"tp_mavg5","derived","numeric","mm","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Total precipitation mean from lag 0 through lag 5, recomputed by the public workflow.","Restricted at row level"
"tp_mavg6","derived","numeric","mm","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Total precipitation mean from lag 0 through lag 6, recomputed by the public workflow.","Restricted at row level"
"tp_mavg7","derived","numeric","mm","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Total precipitation mean from lag 0 through lag 7, recomputed by the public workflow.","Restricted at row level"
"tp_mavg8","derived","numeric","mm","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Total precipitation mean from lag 0 through lag 8, recomputed by the public workflow.","Restricted at row level"
"tp_mavg9","derived","numeric","mm","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Total precipitation mean from lag 0 through lag 9, recomputed by the public workflow.","Restricted at row level"
"tp_mavg10","derived","numeric","mm","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Total precipitation mean from lag 0 through lag 10, recomputed by the public workflow.","Restricted at row level"
"PM25","input","numeric","ug/m3","CHAP air-pollution estimates","current-day exposure","Environmental model modules","PM2.5 on the case or referent day (lag 0).","Restricted at row level"
"PM25_lag1","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM2.5 1 day(s) before the case or referent day.","Restricted at row level"
"PM25_lag2","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM2.5 2 day(s) before the case or referent day.","Restricted at row level"
"PM25_lag3","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM2.5 3 day(s) before the case or referent day.","Restricted at row level"
"PM25_lag4","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM2.5 4 day(s) before the case or referent day.","Restricted at row level"
"PM25_lag5","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM2.5 5 day(s) before the case or referent day.","Restricted at row level"
"PM25_lag6","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM2.5 6 day(s) before the case or referent day.","Restricted at row level"
"PM25_lag7","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM2.5 7 day(s) before the case or referent day.","Restricted at row level"
"PM25_lag8","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM2.5 8 day(s) before the case or referent day.","Restricted at row level"
"PM25_lag9","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM2.5 9 day(s) before the case or referent day.","Restricted at row level"
"PM25_lag10","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM2.5 10 day(s) before the case or referent day.","Restricted at row level"
"PM25_mavg1","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM2.5 mean from lag 0 through lag 1, recomputed by the public workflow.","Restricted at row level"
"PM25_mavg2","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM2.5 mean from lag 0 through lag 2, recomputed by the public workflow.","Restricted at row level"
"PM25_mavg3","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM2.5 mean from lag 0 through lag 3, recomputed by the public workflow.","Restricted at row level"
"PM25_mavg4","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM2.5 mean from lag 0 through lag 4, recomputed by the public workflow.","Restricted at row level"
"PM25_mavg5","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM2.5 mean from lag 0 through lag 5, recomputed by the public workflow.","Restricted at row level"
"PM25_mavg6","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM2.5 mean from lag 0 through lag 6, recomputed by the public workflow.","Restricted at row level"
"PM25_mavg7","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM2.5 mean from lag 0 through lag 7, recomputed by the public workflow.","Restricted at row level"
